time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
897312600,8.125,12.25,7.9375,10.4375,10.4375,8.125,12.25,7.9375,13416590,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10.208333333333336,2.2448979591836498,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897917400,10.25,14.875,9.375,14.0625,14.0625,10.25,14.875,9.375,4385800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10.83963129388807,29.73227242451637,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898522200,14.9375,15.5,12.125,13.6875,13.6875,14.9375,15.5,12.125,2165800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.157556823294119,22.674705733283908,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
899127000,13.4375,14.625,12.875,13.125,13.125,13.4375,14.625,12.875,577400,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.224558307484317,16.93110446268968,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
899731800,13.5625,15.625,13.125,15.625,15.625,13.5625,15.625,13.125,1295000,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.436063826572454,36.62917798424905,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
900336600,16.5,22.25,15.9375,16.75,16.75,16.5,22.25,15.9375,2790600,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12.215132267259522,37.12499900549894,,,1,,,1,0,0,0,,,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
900941400,17.25,20.46875,17.1875,19,19,17.25,20.46875,17.1875,1308000,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12.551485561037182,51.37650366248718,,,1,,,2,0,0,0,,,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
901546200,18.75,20.25,17.25,18,18,18.75,20.25,17.25,915000,,,,,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12.75416866976811,41.1303273937906,,,1,,,2,0,0,0,,,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
902151000,18,19.5,15.75,18.5,18.5,18,19.5,15.75,1144000,,,,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12.96510722359791,42.69068262179878,,,1,,,2,0,0,0,,,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0
902755800,18.6875,20.125,17,19.6875,19.6875,18.6875,20.125,17,1417000,,,,,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13.252811656721128,48.55338255724427,,,1,,,2,0,0,0,,,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0
