time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
917015400,0.0437502,0.0488294,0.0388023,0.0410169,0.0410169,0.0437502,0.0488294,0.0388023,2714675359.9999995,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.042882866666666665,-4.351310468982942,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917274600,0.0442711,0.0458336,0.0410158,0.0453127,0.0453127,0.0442711,0.0458336,0.0410158,510477440,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.04306823901919933,5.211406437584112,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917361000,0.0458336,0.046745,0.041146,0.0417971,0.0417971,0.0458336,0.046745,0.041146,343198279.99999994,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043083736017737725,-2.986361297005478,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917447400,0.0419273,0.042969,0.0395835,0.0416669,0.0416669,0.0419273,0.042969,0.0395835,244366760,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04297623556945683,-3.046650205881164,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917533800,0.0416669,0.0419273,0.0412762,0.0415367,0.0415367,0.0416669,0.0419273,0.0412762,227518839.99999997,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.042897612767288,-3.172467369386516,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
917620200,0.0415367,0.0416669,0.0395835,0.0395835,0.0395835,0.0415367,0.0416669,0.0395835,244030760,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042748398406182275,-7.403548493467224,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
917879400,0.0395835,0.0406252,0.0395835,0.0403648,0.0403648,0.0395835,0.0406252,0.0395835,154703200.00000003,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04265927595745964,-5.37860970670886,,,1,,,0,1,0,0,,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
917965800,0.0395835,0.0406252,0.0360679,0.0372398,0.0372398,0.0395835,0.0406252,0.0360679,264094640.00000003,,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423963842794119,-12.162792575488526,,,1,,,0,1,0,0,,,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
918052200,0.0367189,0.0385419,0.0364585,0.038021,0.038021,0.0367189,0.0385419,0.0364585,75119599.99999999,,,,,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04232213879688136,-10.162857830801087,,,1,,,0,2,0,0,,,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
918138600,0.0385419,0.041146,0.038021,0.0401044,0.0401044,0.0385419,0.041146,0.038021,181919079.99999997,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.042228063463403145,-5.029033512852454,,,1,,,0,1,0,0,,,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
