time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1277731800,1.266665,2.027945,1.169331,1.279999,1.279999,1.266665,2.027945,1.169331,740241018,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.4924250000000001,-14.233613079384222,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278423000,1.333332,1.333332,0.998666,1.159998,1.159998,1.333332,1.333332,0.998666,383735721,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.3802973095914062,-15.960279576044295,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278941400,1.196665,1.433332,1.126665,1.375999,1.375999,1.196665,1.433332,1.126665,231693920,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3686245775713846,0.5388199619870393,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279546200,1.424665,1.483332,1.299999,1.419331,1.419331,1.424665,1.483332,1.299999,107723445.00000001,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3709995052729318,3.5252744104708125,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1280151000,1.433332,1.433332,1.303332,1.329332,1.329332,1.433332,1.433332,1.303332,45780809,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3705242316249087,-3.0055821469183903,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1280755800,1.366665,1.478665,1.301332,1.305999,1.305999,1.366665,1.478665,1.301332,66141693,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.3701662748192915,-4.683174297787655,,,1,,,0,0,0,0,,,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
1281360600,1.326665,1.331999,1.159332,1.221333,1.221333,1.326665,1.331999,1.159332,63260851,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.365046514902923,-10.528103865613936,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1281965400,1.229999,1.305999,1.217439,1.273333,1.273333,1.229999,1.305999,1.217439,36180109,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3628979439318385,-6.571654490390645,,,1,,,0,0,0,0,,,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0
1282570200,1.272665,1.359272,1.237332,1.313332,1.313332,1.272665,1.359272,1.237332,46166594,,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3612994539195837,-3.523651888750216,,,1,,,0,0,0,0,,,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0
1283175000,1.313332,1.419999,1.288665,1.403332,1.403332,1.313332,1.419999,1.288665,35268693,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3614875439264156,3.0734365701876754,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0
