time,open,high,low,close
1745847000,225,1106,225,1106
1745847300,1101,1176,1066,1167
1745847600,1164,1366,1149,1287
1745847900,1286,1288,1134,1166
1745848200,1165,1188,995,1009
1745848500,986,986,686,691
1745848800,680,868,620,868
1745849100,874,999,874,940
1745849400,942,1017,922,1002
1745849700,996,1134,996,1126
1745850000,1127,1247,1125,1247
1745850300,1251,1295,1159,1161
1745850600,1160,1170,972,1039
1745850900,1045,1228,1040,1210
1745851200,1208,1219,1013,1132
1745851500,1134,1196,1126,1173
1745851800,1171,1178,964,996
1745852100,994,997,873,906
1745852400,911,993,911,935
1745852700,934,934,532,540
1745853000,539,589,463,575
1745853300,572,572,457,465
1745853600,461,461,112,114
1745853900,113,113,-203,-203
1745854200,-206,-114,-235,-235
1745854500,-237,-48,-288,-98
1745854800,-99,72,-99,-69
1745855100,-72,-48,-153,-142
1745855400,-144,-48,-189,-153
1745855700,-154,-136,-287,-230
1745856000,-232,-224,-462,-458
1745856300,-456,-456,-571,-570
1745856600,-568,-545,-621,-552
1745856900,-551,-387,-551,-389
1745857200,-390,-386,-553,-489
1745857500,-491,-489,-668,-640
1745857800,-641,-553,-642,-615
1745858100,-613,-489,-621,-550
1745858400,-552,-475,-564,-487
1745858700,-486,-369,-502,-373
1745859000,-374,-363,-480,-440
1745859300,-441,-441,-581,-556
1745859600,-554,-512,-596,-562
1745859900,-564,-548,-670,-670
1745860200,-668,-668,-779,-779
1745860500,-781,-700,-798,-700
1745860800,-702,-697,-732,-699
1745861100,-696,-603,-796,-795
1745861400,-797,-770,-833,-772
1745861700,-770,-681,-779,-684
1745862000,-685,-668,-763,-699
1745862300,-702,-627,-714,-671
1745862600,-672,-590,-673,-612
1745862900,-614,-456,-619,-473
1745863200,-472,-424,-488,-433
1745863500,-432,-367,-432,-387
1745863800,-390,-390,-460,-437
1745864100,-435,-416,-471,-450
1745864400,-447,-252,-447,-252
1745864700,-251,-134,-251,-191
1745865000,-189,-143,-215,-215
1745865300,-212,-176,-247,-200
1745865600,-199,-168,-202,-181
1745865900,-179,-76,-200,-115
1745866200,-116,-75,-118,-87
1745866500,-88,-86,-127,-115
1745866800,-113,42,-118,31
1745867100,29,151,14,150
