time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1100788200,44.42999,44.49001,44.07001,44.38,44.38,44.42999,44.49001,44.07001,5992000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,44.313340000000004,0.15042874222525052,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100874600,44.49001,44.92,44.47,44.78,44.78,44.49001,44.92,44.47,11655301,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,44.584123374069115,0.4393416559689747,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101133800,44.75,44.97,44.74001,44.95,44.95,44.75,44.97,44.74001,11996000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.70655742163578,0.5445343869094464,,,1,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1101220200,44.88,44.92,44.72,44.75,44.75,44.88,44.92,44.72,3169200,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.715260635674596,0.07769017519197471,,,1,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1101306600,44.92999,45.05,44.78999,45.05,45.05,44.92999,45.05,44.78999,6105102,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.754175899091045,0.6609977615853276,,,1,,,1,0,0,0,,,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
1101479400,45.25,45.60001,45.06,45.28999,45.28999,45.25,45.60001,45.06,3097700,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44.79564716137657,1.1035510589735624,,,1,,,2,0,0,0,,,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
1101738600,45.10001,45.5,45.08,45.39999,45.39999,45.10001,45.5,45.08,3759000,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44.83925437458494,1.250546275213912,,,1,,,3,0,0,0,,,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
1101825000,45.37,45.41,44.82001,45.12,45.12,45.37,45.41,44.82001,3859100,,,,,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44.86082401469282,0.5777334478347864,,,1,,,1,0,0,0,,,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
1101911400,45.28,45.59,45.25999,45.38,45.38,45.28,45.59,45.25999,2037500,,,,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44.8824791283725,1.1084968595529126,,,1,,,1,0,0,0,,,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0
1101997800,45.55,45.57001,44.67999,44.95,44.95,45.55,45.57001,44.67999,6457801,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9029414195838,0.10480066322711241,,,1,,,1,0,0,0,,,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
