time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
959347800,45.53125,45.71875,45.28125,45.71875,45.71875,45.53125,45.71875,45.28125,76800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,45.572916666666664,0.3200000000000052,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959693400,46.375,47.40625,46.375,47.40625,47.40625,46.375,47.40625,46.375,57600,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,46.211309523809526,2.5858182520770234,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959779800,47.5625,48.1875,47.5625,47.578125,47.578125,47.5625,48.1875,47.5625,36000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5418867370892,2.2264638061718762,,,1,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
959866200,48.554685,48.65625,48.554685,48.65625,48.65625,48.554685,48.65625,48.554685,7000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.62398120067643,4.358848701865218,,,1,,,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
959952600,50.859375,51.1875,50.859375,51.1875,51.1875,50.859375,51.1875,50.859375,29400,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.257210541586076,8.316803749885516,,,1,,,3,0,0,0,,,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
960211800,51.0625,51.5625,50.9375,51,51,51.0625,51.5625,50.9375,48400,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47.998659117032396,6.252968183235296,,,1,,,4,0,0,0,,,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
960298200,51.804685,52.40625,51.34375,51.5,51.5,51.804685,52.40625,51.34375,151800,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49.39780787878787,4.255638481712543,,,1,,,5,0,0,0,,,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0
960384600,51.1875,51.5625,50.71875,51.5625,51.5625,51.1875,51.5625,50.71875,131000,,,,,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,49.856415532837666,3.4219958433205666,,,1,,,4,0,0,0,,,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0
960471000,52.125,52.125,51.4375,51.4375,51.4375,52.125,52.125,51.4375,91400,,,,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50.119295980298695,2.6301327540982933,,,1,,,4,0,0,0,,,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0
960557400,51.9375,52.34375,51.90625,52.34375,52.34375,51.9375,52.34375,51.90625,41600,,,,,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,50.24816426726279,4.170472221813105,,,1,,,5,0,0,0,,,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0
