time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
897571800,8.125,12.25,7.9375,10.5625,10.5625,8.125,12.25,7.9375,10094790,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10.25,3.048780487804878,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897658200,11.6875,12.1875,10,10.4375,10.4375,11.6875,12.1875,10,3321800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10.404743120271247,0.3148264147428467,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897917400,10.25,10.75,9.375,10.219,10.219,10.25,10.75,9.375,1148000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.381878915460947,-1.5688770480494034,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898003800,10.25,10.6875,10.0625,10.375,10.375,10.25,10.6875,10.0625,336400,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.381723619258407,-0.06476399781954068,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898090200,10.5625,11.5315,10.375,11.4375,11.4375,10.5625,11.5315,10.375,729000,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.415908892669371,9.807988125257278,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
898176600,11.5625,13.375,11.5,13,13,11.5625,13.375,11.5,1081400,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.558859965169464,23.11935230586569,,,1,,,1,0,0,0,,,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
898263000,13.40625,14.875,13,14.0625,14.0625,13.40625,14.875,13,1091000,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10.768469720451394,30.589585754163462,,,1,,,2,0,0,0,,,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
898522200,14.9375,15.5,13.9375,14,14,14.9375,15.5,13.9375,477800,,,,,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10.865458373244481,28.848682854228535,,,1,,,3,0,0,0,,,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
898608600,13.875,14,12.9375,13,13,13.875,14,12.9375,839800,,,,,0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10.972938845679314,18.473274870376756,,,1,,,2,0,1,0,,,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0
898695000,13.125,13.375,12.125,12.6875,12.6875,13.125,13.375,12.125,441800,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01260297924338,15.208911316547733,,,1,,,2,1,1,0,,,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0
898781400,12.6875,13,12.6875,12.9375,12.9375,12.6875,13,12.6875,255200,,,,,-1,8.06712,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11.036586627602546,17.223743504565647,,,1,,,2,1,1,0,,,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0
898867800,13,13.75,12.75,13.6875,13.6875,13,13.75,12.75,151200,,,,,-1,8.651033,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.054450945896116,23.818903959959982,,,1,,,2,1,0,1,,,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0
