time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
728317800,43.9688,43.96899,43.75,43.938,43.938,43.9688,43.96899,43.75,1003200,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,43.88566333333333,0.11925686589068059,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728577000,43.96875,44.25,43.96875,44.25,44.25,43.96875,44.25,43.96875,480500,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,43.97329351014356,0.6292603254577864,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728663400,44.21875,44.375,44.125,44.34375,44.34375,44.21875,44.375,44.125,201300,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01008380178042,0.75815851594921,,,1,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
728749800,44.40625,44.84375,44.375,44.8125,44.8125,44.40625,44.84375,44.375,529400,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.16954440149326,1.455653679970947,,,1,,,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
728836200,44.96875,45.09375,44.875,45,45,44.96875,45.09375,44.875,531500,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.32827221105406,1.5153484569570685,,,1,,,3,0,0,0,,,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
728922600,44.96875,45.0625,44.71875,44.96875,44.96875,44.96875,45.0625,44.71875,492100,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44.417694357936995,1.240621896360402,,,1,,,3,0,0,0,,,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
729181800,44.96875,45.125,44.90625,44.96875,44.96875,44.96875,45.125,44.90625,596100,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44.508227310450955,1.0346911512265724,,,1,,,3,0,0,0,,,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
729268200,44.8125,44.8125,44.5625,44.65625,44.65625,44.8125,44.8125,44.5625,122100,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.51343870532329,0.32082736995924993,,,1,,,3,0,1,0,,,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0
729354600,44.65625,44.75,44.53125,44.71875,44.71875,44.65625,44.75,44.53125,379600,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44.526853838430426,0.4309672591418328,,,1,,,3,1,1,0,,,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0
729441000,44.78125,45.125,44.78125,44.9375,44.9375,44.78125,45.125,44.78125,19500,,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44.528739064511434,0.9179710543709073,,,1,,,3,0,0,0,,,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0
729527400,44.875,44.875,44.59375,44.59375,44.59375,44.875,44.875,44.59375,42500,,,,,-1,43.7791327,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44.53027331794685,0.14254725453833417,,,1,,,3,0,1,0,,,0,0,0,0,0,4,0,0,0,2,5,0,0,0,0
729873000,44.46875,44.46875,43.40625,43.46875,43.46875,44.46875,44.46875,43.40625,374800,,,,,1,45.15346807,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,44.47145130487924,-2.2547078529214217,,,1,,,0,1,0,0,,,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0
