time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1277818200,1.266665,1.666665,1.169331,1.592665,1.592665,1.266665,1.666665,1.169331,281749481,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.4762203333333332,7.8880275550555865,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277904600,1.719331,2.027945,1.553332,1.588665,1.588665,1.719331,2.027945,1.553332,257916256.99999994,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1.5943109756469507,-0.3541326462147462,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277991000,1.666665,1.727998,1.351332,1.463999,1.463999,1.666665,1.727998,1.351332,123448068,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5794424158319147,-7.309124705955739,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278077400,1.533332,1.539999,1.247333,1.279999,1.279999,1.533332,1.539999,1.247333,77127212,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.556138262827067,-17.745162459112038,,,1,,,0,1,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1278423000,1.333332,1.333332,1.055332,1.073999,1.073999,1.333332,1.333332,1.055332,103189557.99999999,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.506965674253879,-28.731024312696924,,,1,,,0,2,0,0,,,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
1278509400,1.093332,1.108666,0.998666,1.053332,1.053332,1.093332,1.108666,0.998666,103873812.99999999,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4572482542132381,-27.717738075542304,,,1,,,0,3,0,0,,,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
1278595800,1.075999,1.167999,1.037999,1.164,1.164,1.075999,1.167999,1.037999,115793200,,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4208779766282162,-18.07882033880172,,,1,,,0,3,0,1,,,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
1278682200,1.171999,1.193331,1.103332,1.159998,1.159998,1.171999,1.193331,1.103332,60879150,,,,,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406326386370799,-17.515733812438818,,,1,,,0,3,0,1,,,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0
1278941400,1.196665,1.204666,1.133332,1.136666,1.136666,1.196665,1.204666,1.133332,33053583,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3992386196914284,-18.765392549651974,,,1,,,0,3,0,1,,,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0
1279027800,1.159586,1.242665,1.126665,1.209332,1.209332,1.159586,1.242665,1.126665,40200940,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.3923097029941256,-13.142025987511023,,,1,,,0,3,0,1,,,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0
