time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
466695000,0.144531,0.148438,0.144531,0.144531,0.144531,0.144531,0.148438,0.144531,18236800,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.14583333333333334,-0.8930285714285826,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467299800,0.144531,0.144531,0.140625,0.140625,0.140625,0.144531,0.144531,0.140625,5689600,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.14490442325353306,-2.9532730315937537,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467908200,0.140625,0.144531,0.140625,0.140625,0.140625,0.140625,0.144531,0.140625,3094400,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14456345116848254,-2.724375446662826,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
468513000,0.136719,0.136719,0.136719,0.136719,0.136719,0.136719,0.136719,0.136719,2096000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14399876103601128,-5.055433104865914,,,1,,,0,1,0,1,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
469117800,0.136719,0.136719,0.125,0.125,0.125,0.136719,0.136719,0.125,3024000,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1425787745586088,-12.329166534800603,,,1,,,0,2,0,0,,,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
469722600,0.125,0.125,0.121094,0.121094,0.121094,0.125,0.125,0.121094,1468800,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1416967509917801,-14.540030627078593,,,1,,,0,3,0,0,,,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
470327400,0.125,0.128906,0.125,0.128906,0.128906,0.125,0.128906,0.125,1625600,,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1410465723064814,-8.607491914160843,,,1,,,0,3,0,1,,,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0
470932200,0.125,0.125,0.117188,0.117188,0.117188,0.125,0.125,0.117188,1417600,,,,,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14022452101158256,-16.428311428983054,,,1,,,0,3,0,0,,,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0
471537000,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,2873600,,,,,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13854974803000863,-15.418106733317098,,,1,,,0,4,0,1,,,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0
472141800,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,1244800,,,,,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13789754490751643,-15.018066435777138,,,1,,,0,4,0,1,,,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0
472746600,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,0.117188,2467200,,,,,-1,0.10347740000000001,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13671585018255378,-14.283530517111698,,,1,,,0,4,0,1,,,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0
473351400,0.117188,0.121094,0.117188,0.121094,0.121094,0.117188,0.121094,0.117188,1254400,,,,,-1,0.10562966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.13623871056290757,-11.116304977001802,,,1,,,0,4,0,1,,,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0
473956200,0.128906,0.148438,0.128906,0.148438,0.148438,0.128906,0.148438,0.128906,5497600,,,,,-1,0.11830859399999999,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.13686430612810993,8.456327437963745,,,1,,,1,0,0,0,,,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0
474561000,0.152344,0.15625,0.152344,0.15625,0.15625,0.152344,0.15625,0.152344,1584000,,,,0.006417285714285713,-1,0.1336263346,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1374197090235983,13.702758585501073,,,1,,,2,0,0,0,,,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0
475165800,0.15625,0.1875,0.15625,0.1875,0.1875,0.15625,0.1875,0.15625,3296000,,,68.96600429029212,0.008191051020408163,-1,0.14389640114,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13980225600202176,34.11800736412183,,,1,,,3,0,0,0,,,0,0,0,0,0,0,4,0,0,6,4,0,0,0,0
475770600,0.1875,0.195313,0.1875,0.195313,0.195313,0.1875,0.195313,0.1875,4361600,,,71.1117319812972,0.008164047376093293,-1,0.163881861026,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.14369806571222762,35.91901813844689,,,1,,,4,0,0,0,,,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0
476375400,0.207031,0.265625,0.207031,0.265625,0.265625,0.207031,0.265625,0.207031,9948800,,,82.70256945319292,0.012603186849229486,-1,0.19046222492339998,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1584234426199177,67.66773629410099,,,1,,,5,0,0,0,,,0,0,0,0,0,0,6,0,0,6,6,0,0,0,0
476980200,0.269531,0.269531,0.253906,0.253906,0.253906,0.269531,0.269531,0.253906,3740800,,,77.14664727025814,0.012819030645713093,-1,0.21575180243106,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.16358877749985376,55.209913467460815,,,1,,,6,0,1,0,,,0,0,0,0,0,0,7,0,0,6,7,0,0,0,0
477585000,0.246094,0.25,0.242188,0.25,0.25,0.246094,0.25,0.242188,2348800,,,75.3301597923522,0.012740385599590731,-1,0.21575180243106,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1662039675906244,50.41758847524803,,,1,,,6,0,1,0,,,0,0,0,0,0,0,8,0,0,6,7,0,0,0,0
478189800,0.25,0.273438,0.25,0.273438,0.273438,0.25,0.273438,0.25,4640000,,,78.58810288364515,0.01350450091390568,-1,0.21575180243106,0,1,0,0,0,9,0,1,0,0,0.48390197020663117,0,0,0,0,0,0,0,0.17197687245715204,58.99696051754108,0.171976872457152,58.99696051754111,1.1613006567355437,,,6,0,0,0,,,0,0,0,0,0,0,9,0,1,,1,0,0,1,1
478794600,0.273438,0.273438,0.265625,0.265625,0.265625,0.273438,0.273438,0.265625,2044800,0.16778290476190477,,75.03097323081367,0.01309796513434099,-1,0.22450214347224273,0,0,0,0,0,0,0,2,0,0,148.3259235740933,3,124.5003762474616,3,0,0,0,0,0.17437839221428295,52.32678580588682,0.18254825413486006,45.50947159635164,0.6418240257131378,,,7,0,1,0,,,0,0,0,0,0,0,0,0,0,,2,0,0,0,0
