time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1144675800,546,551.92008,538.4,550.56008,550.56008,546,551.92008,538.4,872998,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,546.9600533333333,0.6581882250316115,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145280600,553.6,585.84,549.43992,582.48,582.48,553.6,585.84,549.43992,567399,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,557.0548394569369,4.564211410109946,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145885400,571.19992,579.6,548.56008,556.96,556.96,571.19992,579.6,548.56008,787449,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.6990723541454,-0.3112717454170075,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1146490200,561.19992,581.52,538.24,544,544,561.19992,581.52,538.24,583774,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.8452174527711,-2.4819102180334185,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1147095000,537.04,568.4,530.4352,552.88,552.88,537.04,568.4,530.4352,555361,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,556.6455048871062,-0.6764637195570077,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1147699800,539.76,543.19992,520.80008,524.56008,524.56008,539.76,543.19992,520.80008,470423,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553.3202233058878,-5.197739409207998,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0
1148304600,519.12,547.36,519.12,542,542,519.12,547.36,519.12,296385,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,552.0898671400275,-1.827576947263266,,,1,,,0,0,0,0,,,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0
1148995800,549.76,553.19992,532.07992,551.19992,551.19992,549.76,553.19992,532.07992,290924,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,551.6561410938186,-0.0827002655882742,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0
1149514200,557.52,558.24,526.48,544.56008,544.56008,557.52,558.24,526.48,197912,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,551.2895361600765,-1.2206754742615933,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0
1150119000,547.12,547.12,520,530,530,547.12,547.12,520,209586,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,550.4690895186435,-3.7184811842101166,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0
1150723800,526.56008,537.68008,519.36648,535.12,535.12,526.56008,537.68008,519.36648,125212,,,,,-1,440.569904,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,549.970332563689,-2.7002061173852976,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
1151328600,533.36,560.16,532,558.16,558.16,533.36,560.16,532,188762,,,,,-1,458.47396159999994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,549.975333296843,1.4881879618298022,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0
1151933400,561.68008,572,558.1376,558.80008,558.80008,561.68008,572,558.1376,177099,,,,,-1,482.06464544000005,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,550.4079565632143,1.5247096879170705,,,1,,,1,0,0,0,,,0,0,0,0,0,0,2,0,0,3,4,0,0,0,0
1152538200,556.56008,594,541.12,585.76,585.76,556.56008,594,541.12,543749,,,,29.90148571428571,-1,482.06464544000005,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,552.5598364657208,6.008428652113746,,,1,,,1,0,0,0,,,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0
1153143000,581.84,585.68008,549.28,556.16,556.16,581.84,585.68008,549.28,502161,,,51.16277601790037,30.37137959183673,-1,482.06464544000005,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,553.4386787166393,0.4917114376015626,,,1,,,1,0,1,0,,,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0
1153747800,552,563.52,543.19992,548,548,552,563.52,543.19992,432536,,,49.36139130357599,29.65342962099125,-1,482.06464544000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553.320055871421,-0.961478951461912,,,1,,,1,0,1,0,,,0,0,0,0,0,1,0,0,0,4,5,0,0,0,0
1154352600,550.24,571.36,546,558.48,558.48,550.24,571.36,546,312248,,,51.712862382885206,29.346756076634733,-1,482.06464544000005,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,553.5523893564173,0.8901796358085964,,,1,,,1,0,0,0,,,0,0,0,0,0,2,0,0,0,4,5,0,0,0,0
1154957400,568.72,578.72,553.36,557.84,557.84,568.72,578.72,553.36,435786,,,51.55541496654715,29.06198778544654,-1,482.06464544000005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,554.1154238422534,0.6721661223432939,,,1,,,1,0,1,0,,,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0
1155562200,548.80008,553.04,522,529.43992,529.43992,548.80008,553.04,522,361236,,,45.00693277663642,29.546131515057503,-1,482.06464544000005,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,553.23464984149,-4.301019440540731,,,1,,,0,0,0,0,,,0,0,0,0,0,4,0,0,0,5,5,0,0,0,0
1156167000,535.28,542.4,523.6,532.4,532.4,535.28,542.4,523.6,454637,,,45.77995996053574,28.77855069255339,-1,482.06464544000005,0,0,0,0,5,0,0,0,0,0,0.2607463125641243,0,0,0,0,0,1,0,552.124113022837,-3.5724056525713137,552.124113022837,-3.5724056525713137,1.0869154375213748,,,0,1,0,0,,,0,0,0,0,0,5,0,0,0,6,5,0,0,0,0
1156771800,524.16,524.48,505.6,510,510,524.16,524.48,505.6,561587,548.0647695238096,,41.074633374910874,28.637225643085287,-1,482.06464544000005,0,0,0,0,6,0,0,0,1,-1,-25.40057278368323,0,-22.15343180598958,0,0,0,1,0,549.6855697600986,-7.219685569955696,549.980988635796,-7.269521940197817,1.394515127834754,,,0,1,0,0,,,0,0,0,0,0,6,0,0,0,7,5,0,0,0,0
1157463000,506.96,508.4,486.6544,487.19992,487.19992,506.96,508.4,486.6544,509225,542.5316013852814,,36.915557605756234,28.259252382864908,-1,482.06464544000005,0,0,0,0,7,0,0,0,2,-1,-38.338972958449105,1,-43.71008770138906,1,0,0,1,0,546.6851492035503,-10.881076482544398,544.8171685135915,-10.575519980544462,1.2736910665413381,,,0,2,0,0,,,0,0,0,0,0,7,0,0,0,8,5,0,0,0,0
1157981400,481.43992,486.80008,455.43992,464.48,464.48,481.43992,486.80008,455.43992,1010349,535.4360012593468,,33.29739181180692,28.509305784088845,1,555.8798505470617,0,0,0,0,8,0,0,0,3,-1,-45.401681247646195,1,-63.33623704232693,2,0,0,0,1,539.1629005630906,-13.851639362629237,533.8673857358942,-12.997120181868604,2.4585835274375616,,,0,3,0,0,,,0,0,0,0,0,8,0,0,0,9,5,0,0,0,0
1158586200,466.31992,471.76,436.4,437.12,437.12,466.31992,471.76,436.4,1365124,526.4981829630425,,29.5423249054937,28.99864108522536,1,540.9718654923555,1,0,0,0,9,0,1,0,4,-1,-55.54249342583999,1,-83.03729745404581,2,0,0,0,0,528.6763590365192,-17.318035405134278,519.5642486095244,-15.867960282133442,3.0335070978729384,,,0,4,0,0,,,0,0,0,0,0,9,0,1,0,1,,0,0,1,1
1159191000,434.31992,464,432.48,454.48,454.48,434.31992,464,432.48,947023,519.9510754209477,,34.58329843074816,29.178738150566403,1,535.89867894312,0,0,0,0,10,0,2,0,5,-1,-41.82587874763687,1,-78.9152141548513,2,0,0,0,0,522.8604178122376,-13.07814007003174,510.7486011289083,-11.016887957115836,2.016666588585731,,,0,4,0,0,,,0,0,0,0,0,10,0,0,0,2,,0,0,0,0
1159795800,453.6,455.19992,419.68008,434.80008,434.80008,453.6,455.19992,419.68008,928349,512.2100758372252,,31.80522999749705,29.63167399695452,1,526.988763048808,0,0,0,0,11,0,3,0,6,-1,-49.593161285736954,1,-82.99772558101364,2,0,0,0,0,517.00704154812,-15.900549691153227,502.8598430585953,-13.53453929520968,1.884993639522878,,,0,4,0,0,,,0,0,0,0,0,11,0,0,0,3,,0,0,0,0
1160400600,436.88,445.04,420.16,429.19992,429.19992,436.88,445.04,420.16,1056049,504.66369803384106,,31.041085968565028,29.292268711457773,1,520.6578867439272,0,0,0,0,12,0,4,0,7,-1,-48.5524539966065,1,-84.4361185656249,2,0,0,0,0,510.8798792407321,-15.988094767428414,494.8232764214016,-13.261978477648531,1.9907509778450632,,,0,4,0,0,,,0,0,0,0,0,12,0,0,0,4,,0,0,0,0
1161005400,428.48,439.92008,420.4,422,422,428.48,439.92008,420.4,857211,497.14881639440097,,30.041744853257114,28.59425523206793,1,515.2681620695345,0,0,0,0,13,0,4,0,8,-1,-50.960048987112415,1,-86.01987412551492,2,0,0,0,0,506.2950702996608,-16.64939582559417,488.3358205539968,-13.584057888430461,1.5340429413768502,,,0,4,0,0,,,0,0,0,0,0,13,0,0,0,4,,0,0,0,0
1161610200,415.6,438.48,413.68008,432,432,415.6,438.48,413.68008,963924,491.2261967221827,,33.25575812652346,28.323231286920223,1,510.1173258625811,0,0,0,0,14,0,4,0,9,-1,-39.97855071816086,1,-77.8613023149592,2,0,0,0,0,501.7420102902303,-13.899974261650602,482.5624380936794,-10.477905883728104,1.614362528160412,,,0,4,0,0,,,0,0,0,0,0,14,0,0,0,4,,0,0,0,0
1162218600,425.12,426.24,406.56008,421.43992,421.43992,425.12,426.24,406.56008,1879923,484.8819897474388,,31.604519712359973,28.11728048071163,1,499.6655732763229,0,0,0,0,15,0,4,0,10,-1,-39.84039603847357,1,-76.53627343127424,2,0,0,0,0,493.2148622754566,-14.552469474322304,472.89010140442645,-10.879944674592606,2.7621168966933314,,,0,4,0,0,,,0,0,0,0,0,15,0,0,0,4,,0,0,0,0
1162823400,420.80008,436.936,419.6,426.4,426.4,420.80008,436.936,419.6,1211036,479.56544522494437,,33.280247658373966,27.347189017803654,1,499.6655732763229,0,0,0,0,16,0,4,0,11,-1,-36.93816350800009,0,-70.66966629047596,2,0,0,0,0,489.17490834047396,-12.832814453512729,468.6695098329665,-9.019044112349313,1.647890660602174,,,0,4,0,0,,,0,0,0,0,0,16,0,0,0,4,,0,0,0,0
1163428200,421.36,424.48,402.96,407.52,407.52,421.36,424.48,402.96,2012486,473.01585929540397,,30.242880744221296,27.068104087960535,1,492.8778019538216,0,0,0,0,17,0,4,0,12,-1,-44.08488284196632,1,-75.66265408815083,2,0,0,0,0,481.9748142474767,-15.447864088858143,460.7940370723354,-11.561355570226809,2.4361674298430347,,,0,4,0,0,,,0,0,0,0,0,17,0,0,0,4,,0,0,0,0
1164033000,405.12,417.92008,402,414.4,414.4,405.12,417.92008,402,946162,467.6871448140036,,32.65493791721447,26.27181665310621,1,485.9780857584394,0,0,0,0,18,0,5,0,13,-1,-40.28278202573782,1,-71.63633915877394,2,0,0,0,0,479.02367403167597,-13.490705686375467,457.04673906772507,-9.330936077722614,1.0944108373001342,,,0,5,0,0,,,0,0,0,0,0,18,0,0,0,5,,0,0,0,0
1164637800,413.52,441.68008,412.80008,440.4,440.4,413.52,441.68008,412.80008,1245823,465.20649528545783,,40.96288597635002,26.458115463598624,1,485.9780857584394,0,0,0,0,0,1,5,0,0,0,-17.597133144895064,0,-51.4444370155459,1,1,0,0,0,476.5488859703555,-7.585556704586281,451.76358873921953,-2.5153839358619012,1.384795926165218,,,0,4,0,0,,,0,0,0,0,0,0,1,0,0,5,,0,0,0,0
1165242600,435.76,438.31992,426.88,428.64,428.64,435.76,438.31992,426.88,1266836,461.8822684413253,,38.640928682678386,25.53396435905586,1,485.9780857584394,0,0,0,0,0,2,5,0,0,0,-24.985443384960778,0,-47.420290909089175,1,0,0,0,0,474.266525461989,-9.620439776461899,447.38333424156843,-4.18954681746098,1.3507478322062316,,,1,4,0,0,,,0,0,0,0,0,0,2,0,0,5,,0,0,0,0
