time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
914337000,11.65625,11.695505,11.594,11.633005,11.633005,11.65625,11.695505,11.594,30400,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,11.640836666666667,-0.06727752386640798,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914423400,11.671875,11.875,11.65625,11.875,11.875,11.671875,11.875,11.65625,135600,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,11.772553823293173,0.8702120053520371,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914509800,11.90625,11.90625,11.796875,11.8125,11.8125,11.90625,11.90625,11.796875,24600,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.781070617348723,0.26677866275578,,,1,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
914855400,11.875,11.875,11.671875,11.75,11.75,11.875,11.875,11.671875,27000,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.779154111519608,-0.24750598594423834,,,1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
914941800,11.78125,11.867185,11.671875,11.867185,11.867185,11.78125,11.867185,11.671875,44000,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.783010428134556,0.7143723785939922,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
915028200,11.859375,11.859375,11.679685,11.6875,11.6875,11.859375,11.859375,11.679685,43600,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.777178462210573,-0.7614596526521553,,,1,,,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
915114600,11.671875,11.671875,11.609375,11.671875,11.671875,11.671875,11.671875,11.609375,26000,,,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11.767276419082126,-0.810734920167429,,,1,,,0,0,0,0,,,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
915460200,11.640625,11.875,11.640625,11.66406,11.66406,11.640625,11.875,11.640625,57200,,,,,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.761280322691382,-0.8266134300345942,,,1,,,0,0,0,0,,,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
915546600,11.734375,11.734375,11.585935,11.60156,11.60156,11.734375,11.734375,11.585935,85400,,,,,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11.739532524271844,-1.1752812472437262,,,1,,,0,0,0,0,,,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0
915633000,11.734375,12,11.65625,11.984375,11.984375,11.734375,12,11.65625,112800,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.76658371974088,1.8509304437593976,,,1,,,0,0,0,0,,,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0
