time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
959347800,45.53125,45.71875,45.28125,45.71875,0,0,0,0,0,0,0,0,0,0
959693400,46.375,47.40625,46.375,47.40625,0,0,0,0,0,0,0,0,0,0
959779800,47.5625,48.1875,47.5625,47.578125,0,0,0,0,0,1,0,0,0,0
959866200,48.554685,48.65625,48.554685,48.65625,0,0,0,0,0,2,0,0,0,0
959952600,50.859375,51.1875,50.859375,51.1875,0,1,0,0,0,3,0,0,0,0
960211800,51.0625,51.5625,50.9375,51,0,2,0,0,0,4,0,0,0,0
960298200,51.804685,52.40625,51.34375,51.5,0,3,0,0,0,5,0,0,0,0
960384600,51.1875,51.5625,50.71875,51.5625,0,4,0,0,0,5,0,0,0,0
960471000,52.125,52.125,51.4375,51.4375,0,5,0,0,0,5,0,0,0,0
960557400,51.9375,52.34375,51.90625,52.34375,0,6,0,0,0,6,0,0,0,0
960816600,52.5,52.5,50.75,50.78906,1,0,0,0,1,6,0,0,0,0
960903000,50.66406,51.4375,50.1875,51.4375,2,0,0,0,2,6,0,0,0,0
960989400,51.859375,51.859375,51.1875,51.1875,3,0,0,0,2,6,0,0,0,0
961075800,50.875,51.25,50.38281,51.25,4,0,0,0,2,6,0,0,0,0
961162200,51.46875,51.5,50.96875,50.96875,0,1,0,0,3,6,0,0,0,0
961421400,51.25,52.25,51.015625,52.25,0,2,0,0,3,7,0,0,0,0
961507800,52.328125,52.671875,52.125,52.59375,0,3,0,0,3,8,0,0,0,0
961594200,52.125,52.9375,52.125,52.84375,0,4,0,0,3,9,0,0,0,0
961680600,53,53,51.34375,51.34375,0,5,0,0,4,9,0,0,0,0
961767000,51.75,51.75,50.5,50.90625,1,0,0,0,5,9,0,0,0,0
962026200,51.109375,51.53125,50.875,51.53125,2,0,0,0,5,9,0,0,0,0
962112600,51.609375,52.0625,50.71875,50.71875,3,0,0,0,5,9,0,0,0,0
962199000,50.9375,52.1875,50.9375,52,0,1,0,0,5,10,0,0,0,0
962285400,51.75,51.84375,51.03125,51.1875,0,2,0,0,5,10,0,0,0,0
962371800,51.21875,51.679685,50.796875,51.679685,0,3,0,0,5,10,0,0,0,0
962631000,51.5625,52.40625,51.5,52.40625,0,4,0,0,5,11,0,0,0,0
962803800,52.109375,52.125,51.63281,51.8125,1,0,0,0,5,12,0,0,0,0
962890200,51.828125,52.421875,51.34375,52.421875,0,1,0,0,5,13,0,1,0,0
962976600,52.429685,52.953125,52.429685,52.75,0,2,0,0,5,14,0,0,0,0
963235800,52.71875,53.28125,52.71875,53.09375,0,3,0,0,5,15,0,0,0,0
963322200,53,53.296875,52.84375,53.03125,0,4,0,0,5,16,0,0,0,0
963408600,53.3125,54.09375,53.25,54.09375,0,5,0,0,5,17,0,0,0,0
963495000,54.140625,54.265625,54,54.265625,0,6,0,0,5,18,0,0,0,0
963581400,54.546875,54.546875,53.875,54.3125,0,7,0,0,5,19,0,0,0,0
963840600,54.359375,54.59375,54.21875,54.5,0,8,0,0,5,20,0,0,0,0
963927000,54.140625,54.140625,53.5625,53.5625,1,0,0,0,6,20,0,0,0,0
964013400,53.390625,53.390625,52.625,52.625,2,0,0,0,7,20,0,0,0,0
964099800,53.125,53.5,53.125,53.5,3,0,0,0,8,20,0,0,0,0
964186200,53.1875,53.1875,52.03125,52.03125,4,0,0,0,9,20,0,0,0,0
964445400,52.3125,52.3125,51.16406,51.273435,5,0,0,0,10,20,0,0,0,0
964531800,51.679685,51.679685,51.0625,51.375,6,0,0,0,11,20,0,0,0,0
964618200,51,51.28125,50.46875,51.28125,7,0,0,0,11,20,0,0,0,0
964704600,51.179685,51.179685,49.875,49.875,8,0,0,0,12,20,0,0,0,0
964791000,50.16406,50.16406,48.875,49,9,0,1,0,1,,0,0,1,1
965050200,49.25,50.09375,48.6875,50.09375,10,0,0,0,1,,0,0,0,0
965136600,49.875,50.0625,49.640625,49.921875,11,0,0,0,1,,0,0,0,0
965223000,49.625,50.28125,49.5,50,0,1,0,0,1,,0,0,0,0
965309400,49.03125,50.0625,49.03125,50.0625,0,2,0,0,1,,0,0,0,0
965395800,50.5625,50.578125,49.921875,50.21875,0,3,0,0,1,,0,0,0,0
