time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
959002200,45.53125,45.71875,45.28125,45.71875,0,0,0,0,0,0,0,0,0,0
959693400,46.375,51.1875,46.375,51.1875,0,0,0,0,0,0,0,0,0,0
960211800,51.0625,52.40625,50.71875,52.34375,0,0,0,0,0,1,0,0,0,0
960816600,52.5,52.5,50.1875,50.96875,0,0,0,0,0,1,0,0,0,0
961421400,51.25,53,50.5,50.90625,0,1,0,0,0,1,0,0,0,0
962026200,51.109375,52.1875,50.71875,51.679685,0,2,0,0,0,1,0,0,0,0
962631000,51.5625,52.953125,51.34375,52.75,0,3,0,0,0,1,0,0,0,0
963235800,52.71875,54.546875,52.71875,54.3125,0,4,0,0,0,2,0,0,0,0
963840600,54.359375,54.59375,52.03125,52.03125,0,5,0,0,0,2,0,0,0,0
964445400,52.3125,52.3125,48.875,49,1,0,0,0,1,2,0,0,0,0
965050200,49.25,50.578125,48.6875,50.21875,2,0,0,0,2,2,0,0,0,0
965655000,50.40625,51.28125,49.75,51.125,3,0,0,0,2,2,0,0,0,0
966259800,50.96875,51.9375,50.90625,51.546875,4,0,0,0,2,3,0,0,0,0
966864600,51.875,52.6875,51.375,52.5625,0,1,0,0,2,4,0,0,0,0
967469400,52.8125,54.28125,52.5625,54.1875,0,2,0,0,2,5,0,0,0,0
968160600,54.117185,54.40625,53.4375,53.4375,0,3,0,0,2,6,0,0,0,0
968679000,53.710935,54.109375,52.8125,52.90625,0,4,0,0,2,6,0,0,0,0
969283800,53.140625,53.140625,50,51.59375,1,0,0,0,3,6,0,0,0,0
969888600,52.179685,52.19531,50.5,51.8125,2,0,0,0,4,6,0,0,0,0
970493400,52.203125,52.203125,48.78125,48.84375,3,0,0,0,5,6,0,0,0,0
971098200,48.875,49.054685,45.96875,47.75,4,0,0,0,6,6,0,0,0,0
971703000,48,49.03125,45.625,48.578125,5,0,0,0,7,6,0,0,0,0
972307800,48.84375,49.53125,46.84375,48.03125,6,0,0,0,7,6,0,0,0,0
972916200,47.9375,50.8125,47.53125,50.65625,0,1,0,0,7,7,0,0,0,0
973521000,51.09375,51.09375,48,48,0,2,0,0,7,7,0,0,0,0
974125800,47.5,49.4375,46.3125,48.15625,1,0,0,0,7,7,0,0,0,0
974730600,47.6875,47.84375,45.46875,46.9375,2,0,0,0,8,7,0,0,0,0
975335400,47.90625,48.054685,43.96875,45.5625,3,0,0,0,9,7,0,0,0,0
975940200,45.734375,47.875,45,46.65625,4,0,0,0,9,7,0,0,0,0
976545000,47.96875,48.78125,45,45.625,5,0,0,0,9,7,0,0,0,0
977149800,45.84375,46.75,43.75,46.25,6,0,0,0,9,7,0,0,0,0
977841000,46.25,49.609375,46.015625,47.875,0,1,0,0,9,7,0,0,0,0
978445800,47.875,48.75,45.71875,46.03125,1,0,0,0,9,7,0,0,0,0
978964200,45.875,48.72656,45.34375,48.375,0,1,0,0,9,7,0,0,0,0
979655400,48.25,50.1875,48.03125,48.625,0,2,0,0,9,7,0,0,0,0
