time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1690212600,194.7,195.28,194.47,194.97,0,2,0,0,,12,0,0,0,0
1690216200,194.98,195.27,194.79,195.19,0,3,0,0,,13,0,1,0,0
1690219800,195.2,195.32,194.96,195.12,0,4,0,0,,13,0,1,0,0
1690223400,195.11,195.11,194.54,194.57,1,0,0,0,,13,0,1,0,0
1690227000,194.56,195.11,194.53,194.92,2,0,0,0,,13,0,1,0,0
1690291800,194.58,196.07,194.42,195.74,0,1,0,0,,14,0,0,0,0
1690295400,195.73,196.01,195.21,195.6,0,2,0,0,,15,0,0,0,0
1690299000,195.64,195.73,195.21,195.4,0,3,0,0,,15,0,0,0,0
1690302600,195.39,195.77,195.34,195.68,0,4,0,0,,15,0,0,0,0
1690306200,195.69,196.055,195.655,196.05,0,5,0,0,,16,0,0,0,0
1690309800,196.06,196.21,195.22,195.4,1,0,0,0,,16,0,0,0,0
1690313400,195.39,195.39,194.855,194.96,2,0,0,0,,16,0,0,0,0
1690378200,194.77,196.67,194.71,196.22,0,1,0,0,,17,0,0,0,0
1690381800,196.22,196.32,195.38,195.67,1,0,0,0,,18,0,0,0,0
1690385400,195.65,196.1,195.65,196.03,0,1,0,0,,18,0,0,0,0
1690389000,196.03,196.23,195.77,195.84,0,2,0,0,,18,0,0,0,0
1690392600,195.83,195.97,195.39,195.79,1,0,0,0,,18,0,0,0,0
1690396200,195.78,197.16,195.65,196.31,0,1,0,0,,19,0,0,0,0
1690399800,196.32,196.75,196.1,196.475,0,2,0,0,,20,0,0,0,0
1690464600,197.63,197.9,196.2,196.3,0,3,0,0,,20,0,0,0,0
1690468200,196.31,197,195.8,196.15,0,4,0,0,,20,0,0,0,0
