time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1144157400,42.035,42.31,41.92999,42.21001,0,5,0,0,,14,0,0,0,0
1144243800,42.3,42.67,42.21001,42.61,0,6,0,0,,15,0,0,0,0
1144330200,42.58,42.94,42.4404,42.73,0,7,0,0,,16,0,0,0,0
1144416600,42.895,43.05,42.3,42.32001,0,8,0,0,,16,0,0,0,0
1144675800,42.39999,42.5,42.09,42.25999,0,9,0,1,,1,0,0,1,1
1144762200,42.39999,42.42999,41.71001,41.92,1,0,0,0,,1,0,0,0,0
1144848600,41.95,42.08,41.8,41.92999,2,0,0,0,,1,0,0,0,0
1144935000,41.89999,42.33,41.78999,42.10001,3,0,0,0,,1,0,0,0,0
1145280600,42.03999,42.21001,41.39,41.66,4,0,0,0,,1,0,0,0,0
1145367000,41.785,42.56,41.77,42.46001,0,1,0,0,,2,0,0,0,0
1145453400,42.53999,42.64999,42.3,42.64999,0,2,0,0,,3,0,0,0,0
1145539800,42.62,42.82001,42.38,42.5,0,3,0,0,,3,0,0,0,0
1145626200,42.67,42.86,41.82001,42,0,4,0,0,,3,0,0,0,0
1145885400,41.96001,42.07001,41.72,41.96001,1,0,0,0,,3,0,0,0,0
1145971800,42.08,42.10001,41.64999,41.87,2,0,0,0,,3,0,0,0,0
1146058200,41.87,42.06,41.7,41.86,3,0,0,0,,3,0,0,0,0
1146144600,41.67,42.49001,41.5,42.25999,0,1,0,0,,4,0,0,0,0
1146231000,42,42.22,41.78,41.85001,1,0,0,0,,4,0,0,0,0
1146490200,41.92999,42.3,41.31,41.44,2,0,0,0,,4,0,0,0,0
1146576600,41.61,41.73,41.39999,41.55,3,0,0,0,,4,0,0,0,0
1146663000,41.58,41.64,41.28,41.49001,4,0,0,0,,4,0,0,0,0
1146749400,41.53,41.99001,41.53,41.83,5,0,0,0,,5,0,0,0,0
1146835800,42.11,42.2101,41.94,42.16,0,1,0,0,,6,0,0,0,0
1147095000,42.08,42.28,42.07001,42.2,0,2,0,0,,7,0,0,0,0
1147181400,42.10001,42.1801,41.97,42.03999,0,3,0,0,,7,0,0,0,0
1147267800,41.92999,41.98,41.55,41.67,1,0,0,0,,7,0,0,0,0
1147354200,41.63,41.64999,40.63,40.74001,2,0,0,0,,7,0,0,0,0
1147440600,40.57001,40.75999,39.96001,40.19,3,0,0,0,,7,0,0,0,0
1147699800,40.03,40.34,39.78999,40.16,4,0,0,0,,7,0,0,0,0
1147786200,40.16,40.25999,39.77,39.86,5,0,0,0,,7,0,0,0,0
1147872600,39.67999,39.81,39.23,39.32001,6,0,0,0,,7,0,0,0,0
1147959000,39.49001,39.66,39,39.05,7,0,0,0,,7,0,0,0,0
1148045400,39.17999,39.47,38.75,39.35001,8,0,0,0,,7,0,0,0,0
1148304600,39.02,39.24001,38.62,38.97,9,0,1,0,1,,0,0,1,1
1148391000,39.25999,39.3801,38.57001,38.59,10,0,0,0,2,,0,0,0,0
1148477400,38.53,39.03999,38.23,38.85001,11,0,0,0,2,,0,0,0,0
1148563800,39.08,39.38,38.82001,39.36,0,1,0,0,2,,0,0,0,0
1148650200,39.45,39.58,39.23,39.49001,0,2,0,0,2,,0,0,0,0
1148995800,39.31,39.33,38.61,38.64,0,3,0,0,3,,0,0,0,0
1149082200,38.72,39.06,38.53999,38.82001,1,0,0,0,4,,0,0,0,0
1149168600,38.91,39.74001,38.84,39.74001,0,1,0,0,4,,0,0,0,0
1149255000,39.97,40,39.31,39.642,0,2,0,0,4,,0,0,0,0
1149514200,39.55,39.56,38.78,38.78,0,3,0,0,5,,0,0,0,0
1149600600,38.85001,38.95,38.35001,38.75,1,0,0,0,6,,0,0,0,0
1149687000,38.8,39.17,38.45,38.46001,2,0,0,0,7,,0,0,0,0
1149773400,38.27,38.56,37.49001,38.39999,3,0,0,0,7,,0,0,0,0
1149859800,38.53999,38.74001,38.11,38.14999,4,0,0,0,8,,0,0,0,0
1150119000,38.2,38.25999,37.39,37.39999,5,0,0,0,9,,0,0,0,0
1150205400,37.52499,37.8,37.16,37.25,6,0,0,0,10,,0,0,0,0
1150291800,37.36,37.71001,37.2,37.63,7,0,0,0,10,,0,0,0,0
1150378200,37.84,38.78999,37.8,38.64999,0,1,0,0,10,,0,0,0,0
1150464600,38.55,38.67999,38.2,38.34,0,2,0,0,10,,0,0,0,0
1150723800,38.5,38.53999,37.91,38.03,0,3,0,0,10,,0,0,0,0
1150810200,38.09,38.48,37.94,38.08,0,4,0,0,11,,0,0,0,0
1150896600,38.14,38.99001,38.13,38.67999,0,5,0,0,11,,0,0,0,0
1150983000,38.60001,38.67999,37.99001,38.19,1,0,0,0,11,,0,0,0,0
1151069400,38.16,38.53,37.92999,38.14999,0,1,0,0,11,,0,0,0,0
1151328600,38.17,38.39,38.07001,38.25,0,2,0,0,11,,0,0,0,0
1151415000,38.28,38.33,37.49001,37.53,1,0,0,0,12,,0,0,0,0
1151501400,37.63499,37.84,37.38,37.81,2,0,0,0,13,,1,0,0,0
1151587800,37.96001,38.96001,37.89999,38.96001,0,1,0,0,13,,1,0,0,0
1151674200,39.12,39.14,38.67999,38.77,0,2,0,0,13,,1,0,0,0
1151933400,38.88,39,38.81,39,0,3,0,0,13,,1,0,0,0
1152106200,38.64,38.67999,38.09,38.14999,0,4,0,0,14,,0,0,0,0
1152192600,38.25999,38.48,38.00999,38.11,1,0,0,0,15,,0,0,0,0
1152279000,37.89,38.17,37.57001,37.69,2,0,0,0,16,,0,0,0,0
1152538200,37.78999,37.92999,37.17,37.36,3,0,0,0,17,,0,0,0,0
1152624600,37.28,37.74001,37.08,37.64,4,0,0,0,17,,0,0,0,0
1152711000,37.56,37.64,36.84,36.92999,5,0,0,0,18,,0,0,0,0
1152797400,36.66,37.03999,36.31,36.31,6,0,0,0,19,,0,0,0,0
1152883800,36.31,36.38,35.78999,35.94,7,0,0,0,20,,0,0,0,0
1153143000,35.955,36.25,35.87,36.03,8,0,0,0,21,,0,0,0,0
1153229400,36.22,36.33,35.53999,36.14999,9,0,1,0,1,,0,0,1,1
1153315800,36.10001,36.83,36.09,36.62,0,1,0,0,1,,0,0,0,0
1153402200,36.745,36.8,36.03999,36.08,0,2,0,0,1,,0,0,0,0
1153488600,35.88,35.96001,35.62,35.7,1,0,0,0,2,,0,0,0,0
1153747800,35.85001,36.4301,35.8,36.41,0,1,0,0,2,,0,0,0,0
1153834200,36.47,36.74001,36.24001,36.62,0,0,0,0,2,,0,0,0,0
1153920600,36.5,36.87,36.23,36.59,0,1,0,0,2,,0,0,0,0
1154007000,36.73,37.03999,36.25,36.35001,0,2,0,0,2,,0,0,0,0
1154093400,36.55499,37.14,36.5,37.11,0,3,0,0,2,,0,0,0,0
1154352600,37.08,37.32001,36.89,37.10001,0,4,0,0,2,,0,0,0,0
1154439000,36.78999,36.8,36.25999,36.48,1,0,0,0,3,,0,0,0,0
1154525400,36.61,37.13,36.61,36.89,0,1,0,0,3,,0,0,0,0
1154611800,36.53999,37.34,36.48,37.12,0,2,0,0,3,,0,0,0,0
1154698200,37.425,37.63,36.62,36.95,1,0,0,0,3,,0,0,0,0
1154957400,36.92,36.94,36.53,36.71001,0,1,0,0,3,,0,0,0,0
1155043800,36.81,36.89999,36.25999,36.48,1,0,0,0,4,,0,0,0,0
1155130200,37.00999,37.31,36.42999,36.53,2,0,0,0,4,,0,0,0,0
1155216600,36.455,36.88,36.31,36.78999,3,0,0,0,4,,0,0,0,0
1155303000,36.64999,36.69,36.37,36.53,4,0,0,0,4,,0,0,0,0
1155562200,36.86,37.27,36.7,36.77,0,1,0,0,4,,0,0,0,0
1155648600,37.22,37.75,37.09,37.7,0,2,0,0,4,,0,0,0,0
1155735000,37.99001,38.61,37.84,38.58,0,3,0,0,4,,0,0,0,0
1155821400,38.47,38.98,38.44,38.73,0,4,0,0,4,,0,0,0,0
1155907800,38.64999,38.83,38.28,38.78999,0,5,0,0,4,,0,0,0,0
1156167000,38.47,38.56,38.25999,38.42,0,6,0,0,5,,0,0,0,0
1156253400,38.36501,38.81,38.2,38.42999,1,0,0,0,5,,0,0,0,0
1156339800,38.47,38.67,37.92,38.14,2,0,0,0,6,,0,0,0,0
1156426200,38.25999,38.35001,37.92,38.25,3,0,0,0,6,,0,0,0,0
1156512600,38.17,38.64,38.06,38.32001,4,0,0,0,6,,0,0,0,0
1156771800,38.28,38.78999,38.24001,38.61,0,1,0,0,6,,0,0,0,0
1156858200,38.58,38.75999,38.17999,38.73,0,2,0,0,6,,0,0,0,0
1156944600,38.74001,39.03,38.60001,38.91,0,3,0,0,6,,0,0,0,0
1157031000,38.94,39.03,38.75999,38.87,0,4,0,0,6,,0,0,0,0
1157117400,39.07001,39.21001,38.89999,39.08,0,5,0,0,6,,0,0,0,0
1157463000,39.11,39.48,38.85001,39.46001,0,6,0,0,6,,0,0,0,0
1157549400,39.08,39.19,38.61,38.67,1,0,0,0,7,,0,0,0,0
1157635800,38.57001,38.89999,38.36,38.4799,2,0,0,0,8,,0,0,0,0
1157722200,38.53999,38.82001,38.46001,38.72,3,0,0,0,8,,0,0,0,0
1157981400,38.41,39.14999,38.3199,38.96001,4,0,0,0,8,,0,0,0,0
1158067800,38.95,39.8,38.95,39.67999,0,1,0,0,8,,0,0,0,0
1158154200,39.73,39.98199,39.63,39.96001,0,2,0,0,8,,0,0,0,0
1158240600,39.85001,40.22,39.75999,39.99001,0,3,0,0,8,,0,0,0,0
1158327000,40.35001,40.46001,40,40.11,0,4,0,0,8,,0,0,0,0
1158586200,40.12,40.39999,39.94,40.11011,0,5,0,0,8,,0,0,0,0
1158672600,40.24001,40.25,39.52,39.85001,1,0,0,0,9,,0,0,0,0
1158759000,40.2,40.53999,40.19,40.42999,0,1,0,0,9,,0,0,0,0
1158845400,40.52,40.67,40.08,40.17999,0,2,0,0,9,,0,0,0,0
1158931800,40.14999,40.16,39.7,39.87,1,0,0,0,10,,0,0,0,0
1159191000,40.05,40.66,39.67999,40.57001,0,1,0,0,10,,0,0,0,0
1159277400,40.52,40.8,40.39999,40.77,0,2,0,0,10,,0,0,0,0
1159363800,40.705,40.95,40.5,40.72,0,3,0,0,10,,0,0,0,0
1159450200,40.77,40.89,40.42999,40.83,0,4,0,0,10,,0,0,0,0
1159536600,40.89,40.92999,40.62,40.64999,0,5,0,0,10,,0,0,0,0
1159795800,40.60001,40.7,40.08,40.14,1,0,0,0,11,,0,0,0,0
1159882200,40.05,40.48,39.88,40.31,2,0,0,0,12,,0,0,0,0
1159968600,40.22,41.31,40.14,41.3,0,1,0,0,12,,0,0,0,0
1160055000,41.28,41.56,41.17999,41.5,0,2,0,0,12,,0,0,0,0
1160141400,41.38,41.56,41.24001,41.41,0,3,0,0,12,,0,0,0,0
1160400600,41.375,41.74001,41.32001,41.55,0,4,0,0,12,,0,0,0,0
1160487000,41.61,41.75,41.31,41.62,0,5,0,0,12,,0,0,0,0
1160573400,41.42999,41.83,41.17,41.53999,0,6,0,0,12,,0,0,0,0
1160659800,41.75999,42.25,41.7,42.23,0,7,0,0,12,,0,0,0,0
1160746200,42.22,42.52,42.14,42.42999,0,8,0,0,12,,0,0,0,0
1161005400,42.42999,42.62,42.39999,42.45,0,9,0,1,,1,0,0,1,1
1161091800,42.17,42.2,41.75999,42,0,10,0,0,,1,0,0,0,0
1161178200,42.22,42.31,41.64999,41.8,1,0,0,0,,1,0,0,0,0
1161264600,41.69,42.11011,41.59,41.89999,2,0,0,0,,1,0,0,0,0
1161351000,42.05,42.084,41.64,42,3,0,0,0,,1,0,0,0,0
1161610200,41.92,42.58,41.82001,42.42999,0,1,0,0,,2,0,0,0,0
1161696600,42.28999,42.45,41.92,42.13,0,2,0,0,,3,0,0,0,0
1161783000,42.14,42.52,42.05,42.42999,0,3,0,0,,3,0,0,0,0
1161869400,42.57001,42.92,42.22,42.82001,0,4,0,0,,4,0,0,0,0
1161955800,42.73,42.82001,42.08,42.21001,1,0,0,0,,4,0,0,0,0
1162218600,42.17,42.64999,42.06,42.48,0,1,0,0,,4,0,0,0,0
1162305000,42.56,42.75999,42.31,42.58,0,2,0,0,,4,0,0,0,0
1162391400,42.73,42.77,41.82001,42,1,0,0,0,,4,0,0,0,0
1162477800,41.815,42.14,41.74001,42.03999,2,0,0,0,,4,0,0,0,0
1162564200,42.10001,42.19,41.61,41.92999,3,0,0,0,,4,0,0,0,0
1162823400,42.06,42.71001,42.06,42.53999,4,0,0,0,,5,0,0,0,0
1162909800,42.53,43.09,42.47,42.83,0,1,0,0,,6,0,0,0,0
1162996200,42.58,43.2,42.47,43.03,0,2,0,0,,7,0,0,0,0
1163082600,43.27,43.35001,42.67,42.8,0,3,0,0,,7,0,0,0,0
1163169000,42.825,43.03999,42.67,43.03,0,4,0,0,,7,0,0,0,0
1163428200,43.06,43.53999,43,43.46001,0,5,0,0,,8,0,0,0,0
1163514600,43.5,43.97,43.24001,43.92999,0,6,0,0,,9,0,0,0,0
1163601000,43.985,44.39999,43.92,44.11,0,7,0,0,,10,0,0,0,0
1163687400,44.25,44.42,44.02,44.3,0,8,0,0,,11,0,0,0,0
1163773800,44.06,44.3,43.95,44.3,0,9,0,1,,1,0,0,1,1
1164033000,44.16,44.48,44.00999,44.39,0,10,0,0,,1,0,0,0,0
1164119400,44.42,44.50999,44.25,44.45,0,11,0,0,,2,0,0,0,0
1164205800,44.58,44.75,44.25999,44.73,0,12,0,0,,3,0,0,0,0
1164378600,44.39999,44.86,44.38,44.64999,0,13,0,0,,4,0,0,0,0
1164637800,44.52,44.61,43.64,43.66,1,0,0,0,,4,0,0,0,0
1164724200,43.52,43.84,43.34,43.77,2,0,0,0,,4,0,0,0,0
1164810600,44,44.17999,43.66,44.07001,3,0,0,0,,4,0,0,0,0
1164897000,44.05,44.28,43.78999,44.03999,4,0,0,0,,5,0,0,0,0
1164983400,44,44.35001,43.25999,43.66,0,0,0,0,,5,0,0,0,0
1165242600,43.78999,44.48,43.78999,44.25999,0,1,0,0,,5,0,0,0,0
1165329000,44.39,44.55,44.19,44.42,0,2,0,0,,6,0,0,0,0
1165415400,44.28999,44.39999,44.07001,44.25999,0,3,0,0,,6,0,0,0,0
1165501800,44.34,44.48,43.7,43.7,0,4,0,0,,6,0,0,0,0
1165588200,43.57001,44.25999,43.47,43.89999,1,0,0,0,,6,0,0,0,0
1165847400,43.83501,44.37,43.75,44.06,2,0,0,0,,6,0,0,0,0
1165933800,44.03,44.13,43.56,43.8,3,0,0,0,,6,0,0,0,0
1166020200,44.105,44.11,43.62,43.88,0,1,0,0,,6,0,0,0,0
1166106600,43.97,44.57001,43.94,44.37,0,2,0,0,,7,0,0,0,0
1166193000,44.66,44.75999,44.35001,44.42999,0,3,0,0,,8,0,0,0,0
1166452200,44.58,44.75,43.8,43.99001,0,4,0,0,,8,0,0,0,0
1166538600,43.64999,44.06,43.38,43.85001,1,0,0,0,,8,0,0,0,0
1166625000,43.89,44.11,43.67,43.69,2,0,0,0,,8,0,0,0,0
1166711400,43.75999,43.78999,43.21001,43.38,3,0,0,0,,8,0,0,0,0
1166797800,43.39,43.41,42.92999,42.92999,4,0,0,0,,8,0,0,0,0
1167143400,42.92999,43.12,42.88,43.11,5,0,0,0,,8,0,0,0,0
1167229800,43.19,43.39999,43.10001,43.33,6,0,0,0,,8,0,0,0,0
1167316200,43.2,43.38,43.05,43.12,7,0,0,0,,8,0,0,0,0
1167402600,43.21001,43.61,43.12,43.16,0,1,0,0,,8,0,0,0,0
1167834600,43.46001,44.06,42.52,43.24001,0,2,0,0,,8,0,0,0,0
1167921000,43.3,44.21001,43.14999,44.06,0,3,0,0,,9,0,0,0,0
1168007400,43.92999,43.95,43.48,43.85001,0,4,0,0,,9,0,0,0,0
1168266600,43.88,44.12,43.64,43.88,0,5,0,0,,9,0,0,0,0
1168353000,44,44.28999,43.63,44.10001,0,6,0,0,,10,0,0,0,0
1168439400,43.96001,44.66,43.82001,44.62,0,7,0,0,,11,0,0,0,0
1168525800,44.71001,45.24001,44.64999,45.08,0,8,0,0,,12,0,0,0,0
1168612200,45.02,45.35001,44.97,45.31,0,9,0,1,,1,0,0,1,1
1168957800,45.33,45.39999,45.13,45.28,0,10,0,0,,2,0,0,0,0
1169044200,45.09,45.28999,44.83,44.91,0,11,0,0,,2,0,0,0,0
1169130600,44.78999,44.84,43.95,44.08,1,0,0,0,,2,0,0,0,0
1169217000,43.98,44.28011,43.91,44.17,2,0,0,0,,2,0,0,0,0
1169476200,44.21001,44.23,43.50999,43.69,3,0,0,0,,2,0,0,0,0
1169562600,43.64,43.9801,43.5,43.58,4,0,0,0,,2,0,0,0,0
1169649000,43.87,44.32001,43.77,44.3,0,1,0,0,,3,0,0,0,0
1169735400,44.37,44.47,43.58,43.73,1,0,0,0,,3,0,0,0,0
1169821800,43.81,43.83,43.28999,43.57001,2,0,0,0,,3,0,0,0,0
1170081000,43.45,43.91,43.39999,43.61,0,1,0,0,,3,0,0,0,0
1170167400,43.67999,43.78999,43.52,43.63,1,0,0,0,,3,0,0,0,0
1170253800,43.60001,44.19,43.33,44.07001,0,1,0,0,,4,0,0,0,0
1170340200,44.27,44.39999,43.85001,44.02,0,2,0,0,,5,0,0,0,0
