time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
920903400,51.125,51.734375,49.65625,50.0625,0,0,0,0,0,0,0,0,0,0
921508200,50.4375,53.25,49.90625,51.21875,0,0,0,0,0,0,0,0,0,0
922113000,51.4375,52.46875,48.5,51.75,0,0,0,0,0,1,0,0,0,0
922717800,52.375,54.1875,52.0625,53.5625,0,0,0,0,0,2,0,0,0,0
923319000,54.429685,56.25,53.8125,55.8125,0,1,0,0,0,3,0,0,0,0
923923800,54.5,55.90625,51.125,51.96875,0,2,0,0,1,3,0,0,0,0
924528600,52.3125,55.71875,48.84375,55.3125,0,3,0,0,1,3,0,0,0,0
925133400,55.6875,57.28125,51.8125,53.71875,0,4,0,0,1,3,0,0,0,0
925738200,53.5625,54.375,51.03125,52.96875,1,0,0,0,1,3,0,0,0,0
926343000,53.3125,56,52.6875,53.40625,0,1,0,0,1,3,0,0,0,0
926947800,52.9375,54.992185,52.41406,52.875,1,0,0,0,1,3,0,0,0,0
927552600,52.96875,53.0625,48.9375,52.03125,2,0,0,0,2,3,0,0,0,0
928157400,51.9375,52.742185,49.57031,52.5625,3,0,0,0,2,3,0,0,0,0
928762200,52.929685,54.03125,51.3125,51.78125,4,0,0,0,2,3,0,0,0,0
929367000,51.96875,55.21875,50.6875,55.0625,0,1,0,0,2,4,0,0,0,0
929971800,55.4375,57.09375,54.1875,54.6875,0,2,0,0,2,5,0,0,0,0
930576600,55.15625,59.9375,54.703125,58.75,0,3,0,0,2,6,0,0,0,0
931181400,59.0625,59.90625,57.9375,59.84375,0,4,0,0,2,7,0,0,0,0
931786200,60.0625,61.71875,58.78125,61.375,0,5,0,0,2,8,0,0,0,0
932391000,61.625,61.625,56.6875,57.28125,0,6,0,0,3,8,0,0,0,0
932995800,56.5,58.4375,55.78125,56.59375,1,0,0,0,4,8,0,0,0,0
933600600,56.6875,57.8125,53.75,55.328125,2,0,0,0,5,8,0,0,0,0
934205400,55.53125,57.71875,52.9375,57.65625,3,0,0,0,5,8,0,0,0,0
934810200,57.625,58.84375,56.69531,57.96875,0,1,0,0,5,9,0,0,0,0
935415000,58.5,61.75,58.367185,59.875,0,2,0,0,5,10,0,0,0,0
936019800,60.125,62.679685,58.125,62.65625,0,3,0,0,5,11,0,0,0,0
936624600,62.53125,63.742185,61.03125,63.125,0,4,0,0,5,12,0,0,0,0
937229400,63.0625,63.492185,60.19531,63.3125,0,5,0,0,5,13,0,1,0,0
937834200,63.5,63.75,58.625,60.078125,0,6,0,0,6,13,0,1,0,0
938439000,60.9375,61.375,58.75,60.210935,1,0,0,0,6,13,0,1,0,0
939043800,60.53125,63.9375,60.1875,63.75781,0,1,0,0,6,14,0,0,0,0
939648600,63.9375,64.6875,59.50781,59.875,1,0,0,0,6,14,0,0,0,0
940253400,59.9375,63.25,57.41406,61.96875,0,1,0,0,6,14,0,0,0,0
940858200,61.6875,66.25,60.44531,65.75,0,2,0,0,6,15,0,0,0,0
941466600,65.75,69.21875,65.19531,68.1875,0,3,0,0,6,16,0,0,0,0
942071400,68.4375,72.25,68.21875,72.1875,0,4,0,0,6,17,0,0,0,0
942676200,72.25,75.90625,70.15625,75.78125,0,5,0,0,6,18,0,0,0,0
943281000,75.9375,78.78125,74.25,77.6875,0,6,0,0,6,19,0,0,0,0
943885800,77.53125,80.1875,73.75,79.125,0,7,0,0,6,20,0,0,0,0
944490600,79.429685,80.5,77.25,79.5,0,8,0,0,6,21,0,0,0,0
945095400,79.63281,84.875,77.9375,83.78125,0,9,0,1,,1,0,0,1,1
945700200,84.40625,90.75,83.6875,89.65625,0,10,0,0,,2,0,0,0,0
946305000,90.3125,93.75,87.90625,91.375,0,11,0,0,,3,0,0,0,0
946909800,96.1875,96.1875,80,88.5,0,12,0,0,,3,0,0,0,0
947514600,91,93.9375,86,92.6875,0,13,0,0,,3,0,0,0,0
948205800,92.0625,96.875,91.4375,96.25,0,14,0,0,,4,0,0,0,0
948724200,97.4375,97.625,84.75,85.75,1,0,0,0,,4,0,0,0,0
949329000,85.875,98.242185,83.5,96.90625,0,1,0,0,,5,0,0,0,0
949933800,97.25,102.25,96.25,99,0,2,0,0,,6,0,0,0,0
