time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1636731000,391.63,394.62,391.15,394.51,0,2,0,0,,10,0,0,0,0
1636734600,394.55,394.88,394.09,394.67,0,3,0,0,,11,0,0,0,0
1636738200,394.63,394.8,393.87,394.33,0,4,0,0,,11,0,0,0,0
1636741800,394.405,394.78,394.12,394.22,0,5,0,0,,11,0,0,0,0
1636745400,394.23,394.905,393.9,394.84,0,6,0,0,,12,0,0,0,0
1636749000,394.87,395.23,394.48,394.72,0,7,0,0,,12,0,0,0,0
1636986600,395.9,396.24,393.95,394.13,1,0,0,0,,12,0,0,0,0
1636990200,394.13,394.54,393.66,394.06,2,0,0,0,,12,0,0,0,0
1636993800,394.01,394.78,392.1,392.57,3,0,0,0,,12,0,0,0,0
1636997400,392.62,394,392.6,393.61,4,0,0,0,,12,0,0,0,0
1637001000,393.64,393.73,393.02,393.33,5,0,0,0,,12,0,0,0,0
1637004600,393.32,394.77,393.17,394.77,0,1,0,0,,13,0,1,0,0
1637008200,394.8,394.81,393.93,394.63,0,2,0,0,,14,0,0,0,0
1637073000,393.96,396.37,393.67,394.9,0,3,0,0,,15,0,0,0,0
1637076600,394.93,397.52,394.83,397.29,0,4,0,0,,16,0,0,0,0
1637080200,397.32,397.56,396.83,397.11,0,5,0,0,,17,0,0,0,0
1637083800,397.11,397.58,396.98,397.19,0,6,0,0,,17,0,0,0,0
1637087400,397.21,397.9,397.18,397.65,0,7,0,0,,18,0,0,0,0
1637091000,397.68,397.74,396.98,397.44,0,8,0,0,,18,0,0,0,0
1637094600,397.42,397.91,397.29,397.495,0,9,0,1,,1,0,0,1,1
1637159400,397.75,398.01,396.7,397.685,0,10,0,0,,1,0,0,0,0
1637163000,397.73,398.77,397.59,398.67,0,11,0,0,,2,0,0,0,0
1637166600,398.67,399.71,397.56,397.57,0,12,0,0,,2,0,0,0,0
1637170200,397.57,398.26,397.09,397.95,0,13,0,0,,2,0,0,0,0
1637173800,398,398.56,397.85,398.21,0,14,0,0,,2,0,0,0,0
1637177400,398.15,398.42,397.48,397.71,1,0,0,0,,2,0,0,0,0
1637181000,397.7,398.29,397.44,397.66,0,1,0,0,,2,0,0,0,0
1637245800,399.73,400.3,397.47,398.14,0,2,0,0,,2,0,0,0,0
1637249400,398.11,399.71,398.11,399.52,0,3,0,0,,3,0,0,0,0
1637253000,399.47,401.87,399.45,401.85,0,4,0,0,,4,0,0,0,0
1637256600,401.87,401.935,400.36,400.78,0,5,0,0,,5,0,0,0,0
1637260200,400.64,401.075,400.18,400.49,0,6,0,0,,5,0,0,0,0
1637263800,400.46,401.62,399.94,401.6,0,7,0,0,,5,0,0,0,0
1637267400,401.57,402.27,401.42,401.73,1,0,0,0,,6,0,0,0,0
1637332200,403.43,405.04,402.59,403.39,0,1,0,0,,7,0,0,0,0
1637335800,403.37,404.74,403.34,404.74,0,2,0,0,,8,0,0,0,0
1637339400,404.82,405.245,404.52,404.8,0,3,0,0,,8,0,0,0,0
1637343000,404.8,405.3,403.66,403.68,0,4,0,0,,8,0,0,0,0
1637346600,403.64,404.41,403.05,404.12,0,5,0,0,,8,0,0,0,0
1637350200,404.11,404.4,403.69,404.07,1,0,0,0,,8,0,0,0,0
1637353800,404.14,404.15,403.63,403.93,2,0,0,0,,8,0,0,0,0
1637591400,405.57,408.71,405.57,408.1,0,1,0,0,,9,0,0,0,0
1637595000,408.14,408.26,404.77,404.95,0,2,0,0,,10,0,0,0,0
1637598600,404.97,405.51,401.13,402.37,1,0,0,0,,10,0,0,0,0
1637602200,402.36,403.65,402.07,403.17,2,0,0,0,,10,0,0,0,0
1637605800,403.18,403.41,402.39,403.02,3,0,0,0,,10,0,0,0,0
1637609400,403,404.62,402.95,403.41,4,0,0,0,,10,0,0,0,0
1637613000,403.4,403.64,399.2,399.34,5,0,0,0,,10,0,0,0,0
1637677800,398.12,400.21,395.82,395.96,6,0,0,0,,10,0,0,0,0
1637681400,395.9,396.58,393.45,395.96,7,0,0,0,,10,0,0,0,0
1637685000,395.95,396.53,394.28,395.36,8,0,0,0,,10,0,0,0,0
1637688600,395.39,395.9,393.5,393.73,9,0,1,0,1,,0,0,1,1
1637692200,393.72,395.18,392.96,393.98,10,0,0,0,2,,0,0,0,0
1637695800,394,396.98,393.69,396,0,1,0,0,2,,0,0,0,0
1637699400,396.03,397.79,396.01,397.48,0,2,0,0,2,,0,0,0,0
1637764200,394.94,396.27,392.58,396.12,0,3,0,0,2,,0,0,0,0
1637767800,396.22,397.9,395.14,397.65,0,4,0,0,2,,0,0,0,0
1637771400,397.79,398.26,396.7,396.92,0,5,0,0,2,,0,0,0,0
1637775000,397.05,398.25,396.87,397.92,0,6,0,0,2,,0,0,0,0
1637778600,398.1,398.25,396.18,396.84,0,7,0,0,2,,0,0,0,0
1637782200,396.97,398.9,396.94,398.73,0,8,0,0,2,,0,0,0,0
1637785800,398.76,399.03,398.19,398.92,0,9,0,1,,1,0,0,1,1
1637937000,396.07,397.53,392.89,394.36,1,0,0,0,,1,0,0,0,0
1637940600,394.3,394.58,390.77,391.84,2,0,0,0,,1,0,0,0,0
1637944200,391.84,393.05,391.41,393.02,3,0,0,0,,1,0,0,0,0
1637947800,392.97,393.4,389.83,391.32,4,0,0,0,,1,0,0,0,0
1637951400,391.34,391.47,391.14,391.14,5,0,0,0,,1,0,0,0,0
1637955000,390.96,391,390.72,390.72,6,0,0,0,,1,0,0,0,0
