time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1660156200,419.13,419.42,418.37,419.36,0,7,0,0,,25,0,0,0,0
1660159800,419.335,420.14,419.17,419.95,0,8,0,0,,26,0,0,0,0
1660224600,422.99,424.94,422.24,423.95,0,9,0,1,,1,0,0,1,1
1660228200,423.93,424.74,421.33,422.19,0,10,0,0,,2,0,0,0,0
1660231800,422.17,422.42,421.11,422.01,0,11,0,0,,2,0,0,0,0
1660235400,422.02,422.985,421.905,422.44,0,12,0,0,,2,0,0,0,0
1660239000,422.47,422.63,420.79,421.22,1,0,0,0,,2,0,0,0,0
1660242600,421.22,421.26,419.22,419.91,2,0,0,0,,2,0,0,0,0
1660246200,419.91,420.35,419.28,420.01,3,0,0,0,,2,0,0,0,0
1660311000,422.03,422.91,421.04,422.45,0,1,0,0,,3,0,0,0,0
1660314600,422.54,423.74,421.71,423.41,0,2,0,0,,4,0,0,0,0
1660318200,423.44,424.27,423.28,424.22,0,3,0,0,,5,0,0,0,0
1660321800,424.22,424.66,424.02,424.57,0,4,0,0,,6,0,0,0,0
1660325400,424.63,425.23,424.475,425.19,0,5,0,0,,7,0,0,0,0
1660329000,425.17,426.54,425.17,426.33,0,6,0,0,,8,0,0,0,0
1660332600,426.325,427.21,426.12,427.07,0,7,0,0,,9,0,0,0,0
1660570200,424.77,427.33,424.72,426.06,0,8,0,0,,9,0,0,0,0
1660573800,426.07,426.64,425.44,426.34,0,9,0,1,,1,0,0,1,1
1660577400,426.35,428.43,426.31,428.37,0,10,0,0,,2,0,0,0,0
1660581000,428.35,429.02,428.25,428.61,0,11,0,0,,3,0,0,0,0
1660584600,428.65,428.7,428.1,428.6,0,12,0,0,,4,0,0,0,0
1660588200,428.63,429.27,428.47,429.2,0,13,0,0,,5,0,0,0,0
1660591800,429.21,429.39,428.6,428.87,0,14,0,0,,6,0,0,0,0
1660656600,427.73,428.78,427.45,427.78,1,0,0,0,,6,0,0,0,0
1660660200,427.75,429.22,426.88,429.1,0,1,0,0,,6,0,0,0,0
1660663800,429.08,430.52,429.01,430,0,2,0,0,,7,0,0,0,0
1660667400,429.99,430.5,429.64,430.32,0,3,0,0,,8,0,0,0,0
1660671000,430.34,431.73,430.24,431.23,0,4,0,0,,9,0,0,0,0
1660674600,431.24,431.24,428.15,429.48,0,5,0,0,,9,0,0,0,0
1660678200,429.48,430.43,429.45,429.69,1,0,0,0,,9,0,0,0,0
1660743000,425.91,427.53,425.91,426.58,2,0,0,0,,9,0,0,0,0
1660746600,426.56,426.83,425.31,426.17,3,0,0,0,,9,0,0,0,0
1660750200,426.17,426.53,424.54,426.2,4,0,0,0,,9,0,0,0,0
1660753800,426.21,426.97,426.02,426.9,5,0,0,0,,10,0,0,0,0
1660757400,426.89,429.16,426.34,428.58,0,1,0,0,,11,0,0,0,0
1660761000,428.68,429.5,426.37,427.16,0,2,0,0,,12,0,0,0,0
1660764600,427.17,427.29,426.17,426.67,0,3,0,0,,12,0,0,0,0
1660829400,426.86,427,425.5,426.15,1,0,0,0,,12,0,0,0,0
1660833000,426.14,427.64,425.79,427.51,2,0,0,0,,13,0,1,0,0
1660836600,427.52,428.15,426.43,426.6,3,0,0,0,,13,0,1,0,0
1660840200,426.61,427.15,425.88,427.01,0,1,0,0,,13,0,1,0,0
1660843800,427.03,427.54,426.76,427.4,0,2,0,0,,13,0,1,0,0
1660847400,427.4,428.46,426.95,428.34,0,3,0,0,,14,0,0,0,0
1660851000,428.38,428.605,427.28,427.83,0,4,0,0,,15,0,0,0,0
1660915800,424.98,425.25,422.66,423.22,1,0,0,0,,15,0,0,0,0
1660919400,423.19,423.52,421.73,422.28,2,0,0,0,,15,0,0,0,0
1660923000,422.29,423.1,421.89,422.59,3,0,0,0,,15,0,0,0,0
1660926600,422.57,423.7,422.46,422.78,4,0,0,0,,15,0,0,0,0
1660930200,422.76,422.99,422,422.41,5,0,0,0,,15,0,0,0,0
1660933800,422.4,422.54,421.22,422.26,6,0,0,0,,15,0,0,0,0
1660937400,422.3,422.78,421.92,422.15,7,0,0,0,,15,0,0,0,0
1661175000,417.05,417.23,414.685,414.93,8,0,0,0,,15,0,0,0,0
1661178600,414.88,415.47,414.35,414.97,9,0,1,0,1,,0,0,1,1
1661182200,415.01,415.75,414.81,415.1,10,0,0,0,1,,0,0,0,0
1661185800,415.1,415.56,414.08,414.12,11,0,0,0,2,,0,0,0,0
1661189400,414.12,414.15,413.1,413.315,12,0,0,0,3,,0,0,0,0
1661193000,413.29,413.76,412.54,413.15,13,0,0,0,4,,0,0,0,0
1661196600,413.155,413.58,412.4,413.38,14,0,0,0,4,,0,0,0,0
1661261400,412.9,415.41,412.35,414.03,15,0,0,0,4,,0,0,0,0
1661265000,414.05,414.94,412.03,412.8,16,0,0,0,4,,0,0,0,0
1661268600,412.8,413.55,411.77,411.83,17,0,0,0,5,,0,0,0,0
1661272200,411.82,413.48,411.81,413.34,18,0,0,0,5,,0,0,0,0
1661275800,413.37,413.61,412.05,413.11,19,0,0,0,5,,0,0,0,0
1661279400,413.12,413.5,412.47,413.09,0,1,0,0,5,,0,0,0,0
1661283000,413.1,413.21,412.15,412.33,0,2,0,0,5,,0,0,0,0
1661347800,412.14,413.63,411.39,413.25,1,0,0,0,5,,0,0,0,0
1661351400,413.25,414.62,412.43,414.44,0,1,0,0,5,,0,0,0,0
1661355000,414.45,415.11,414.24,414.39,0,2,0,0,5,,0,0,0,0
1661358600,414.37,414.37,412.52,412.58,0,3,0,0,5,,0,0,0,0
1661362200,412.57,413.41,412.48,413.24,1,0,0,0,6,,0,0,0,0
1661365800,413.28,414.21,412.71,413.8,2,0,0,0,6,,0,0,0,0
1661369400,413.81,414.46,413.37,413.63,3,0,0,0,6,,0,0,0,0
1661434200,415.23,417.59,414.09,417.36,0,1,0,0,6,,0,0,0,0
1661437800,417.37,417.85,415.03,415.66,0,2,0,0,6,,0,0,0,0
1661441400,415.72,416.2,415.09,415.66,0,3,0,0,6,,0,0,0,0
1661445000,415.68,416.24,414.69,416.15,0,4,0,0,6,,0,0,0,0
1661448600,416.15,416.98,416.07,416.93,1,0,0,0,6,,0,0,0,0
1661452200,416.93,417.49,416.08,417.45,0,1,0,0,6,,0,0,0,0
1661455800,417.45,419.56,417.02,419.51,0,2,0,0,6,,0,0,0,0
1661520600,419.39,419.94,414.4,414.87,1,0,0,0,7,,0,0,0,0
1661524200,414.9,414.9,410.06,411.19,2,0,0,0,8,,0,0,0,0
1661527800,411.2,411.89,409.51,409.98,3,0,0,0,9,,0,0,0,0
1661531400,409.94,410.68,409.36,410.07,4,0,0,0,9,,0,0,0,0
1661535000,410.05,410.09,408.04,408.46,5,0,0,0,10,,0,0,0,0
1661538600,408.45,408.68,406.74,407.12,6,0,0,0,11,,0,0,0,0
1661542200,407.1,407.22,405.25,405.34,7,0,0,0,12,,0,0,0,0
1661779800,402.21,404.52,401.52,403.41,8,0,0,0,13,,1,0,0,0
1661783400,403.42,403.95,401.2,402.17,9,0,1,0,1,,0,0,1,1
1661787000,402.16,404.43,401.86,403.86,10,0,0,0,1,,0,0,0,0
1661790600,403.83,405.27,403.09,404.48,11,0,0,0,1,,0,0,0,0
1661794200,404.44,405.83,403.75,404.05,0,1,0,0,1,,0,0,0,0
1661797800,404.04,405.57,403.66,404.16,0,2,0,0,1,,0,0,0,0
1661801400,404.13,404.74,402.4,402.62,1,0,0,0,2,,0,0,0,0
1661866200,403.85,404.1,399.61,400.05,2,0,0,0,3,,0,0,0,0
1661869800,400.02,400.29,396.38,398.7,3,0,0,0,4,,0,0,0,0
1661873400,398.71,399.96,398.06,398.77,4,0,0,0,5,,0,0,0,0
1661877000,398.75,398.795,396.61,397.17,5,0,0,0,5,,0,0,0,0
1661880600,397.18,398.08,396,396.95,6,0,0,0,6,,0,0,0,0
1661884200,396.94,399.37,396.84,398.47,7,0,0,0,6,,0,0,0,0
1661887800,398.47,398.82,397.08,398.17,8,0,0,0,6,,0,0,0,0
1661952600,399.96,401.225,397.85,398.11,0,1,0,0,6,,0,0,0,0
1661956200,398.1,399.64,396.75,397.57,0,2,0,0,6,,0,0,0,0
1661959800,397.53,399.29,397.1,398.09,1,0,0,0,6,,0,0,0,0
1661963400,398.08,398.43,396.64,397.09,2,0,0,0,6,,0,0,0,0
1661967000,397.09,397.31,396.17,396.66,3,0,0,0,7,,0,0,0,0
1661970600,396.58,397.94,395.24,396.7,4,0,0,0,7,,0,0,0,0
1661974200,396.69,397.87,395.04,395.13,5,0,0,0,8,,0,0,0,0
1662039000,392.88,393.43,390.56,392.6,6,0,0,0,9,,0,0,0,0
1662042600,392.63,392.65,390.04,390.88,7,0,0,0,10,,0,0,0,0
1662046200,390.88,392.62,390.64,391.87,8,0,0,0,10,,0,0,0,0
1662049800,391.7,393.1,390.28,392.96,9,0,1,0,1,,0,0,1,1
1662053400,393.02,394.42,391.83,394.14,0,1,0,0,1,,0,0,0,0
1662057000,394.15,395.52,393.54,394.02,0,2,0,0,1,,0,0,0,0
1662060600,394.01,396.77,393.63,396.41,0,3,0,0,1,,0,0,0,0
1662125400,400.28,400.42,397.03,400.34,0,4,0,0,1,,0,0,0,0
1662129000,400.375,401.545,399.855,400.89,0,5,0,0,1,,0,0,0,0
1662132600,400.9,401.38,398.48,398.6,0,6,0,0,1,,0,0,0,0
1662136200,398.51,398.71,393.27,393.52,1,0,0,0,2,,0,0,0,0
1662139800,393.42,394.41,392.22,393.75,2,0,0,0,3,,0,0,0,0
1662143400,393.74,394.02,392.05,392.63,3,0,0,0,4,,0,0,0,0
1662147000,392.5,392.52,390.335,392.24,4,0,0,0,4,,0,0,0,0
1662471000,393.14,394.12,388.42,390.4,5,0,0,0,5,,0,0,0,0
1662474600,390.38,394.05,389.69,392.04,6,0,0,0,5,,0,0,0,0
1662478200,392.01,393.94,390.42,391.11,7,0,0,0,5,,0,0,0,0
1662481800,391.11,392.06,389.14,389.54,8,0,0,0,6,,0,0,0,0
1662485400,389.53,391.75,389.16,391.08,0,1,0,0,6,,0,0,0,0
1662489000,391.06,391.78,389.89,390.94,1,0,0,0,6,,0,0,0,0
1662492600,390.95,391.27,389.71,390.79,2,0,0,0,6,,0,0,0,0
1662557400,390.43,392.75,390.21,392.37,0,1,0,0,6,,0,0,0,0
1662561000,392.41,394.5,392.16,393.89,0,2,0,0,6,,0,0,0,0
1662564600,393.92,394.46,392.86,393.49,0,3,0,0,6,,0,0,0,0
1662568200,393.49,395.39,393.1,394.68,0,4,0,0,6,,0,0,0,0
1662571800,394.74,397.56,394.62,397.17,0,5,0,0,6,,0,0,0,0
1662575400,397.17,398.58,396.89,398.54,0,6,0,0,6,,0,0,0,0
1662579000,398.53,398.56,397.44,397.78,0,7,0,0,6,,0,0,0,0
1662643800,395.35,398.47,394.16,397.86,0,8,0,0,6,,0,0,0,0
1662647400,397.81,400.85,397.52,400.29,0,9,0,1,,1,0,0,1,1
1662651000,400.33,400.67,395.06,396.19,1,0,0,0,,1,0,0,0,0
1662654600,396.15,399.53,396.03,399.14,0,1,0,0,,1,0,0,0,0
1662658200,399.25,399.86,398.2,399.3,0,2,0,0,,1,0,0,0,0
1662661800,399.34,400.08,397.86,399.15,1,0,0,0,,1,0,0,0,0
1662665400,399.16,400.47,398.33,400.36,0,1,0,0,,2,0,0,0,0
1662730200,402.73,405.55,402.48,405.14,0,2,0,0,,3,0,0,0,0
1662733800,405.13,406.19,404.82,405.55,0,3,0,0,,4,0,0,0,0
1662737400,405.57,406.07,404.35,404.79,0,4,0,0,,4,0,0,0,0
1662741000,404.78,406.6,404.56,406.28,0,5,0,0,,5,0,0,0,0
1662744600,406.28,406.94,405.97,406.89,0,6,0,0,,6,0,0,0,0
1662748200,406.9,407.31,406.18,407.12,0,7,0,0,,7,0,0,0,0
1662751800,407.09,407.51,406.48,406.56,0,8,0,0,,7,0,0,0,0
1662989400,408.78,411.73,408.46,411.36,0,9,0,1,,1,0,0,1,1
1662993000,411.38,411.52,409.84,411.08,0,10,0,0,,2,0,0,0,0
1662996600,411.07,411.21,408.48,409.62,0,11,0,0,,2,0,0,0,0
1663000200,409.6,411.01,409.28,410.98,0,12,0,0,,2,0,0,0,0
1663003800,411.02,411.08,409.74,409.87,1,0,0,0,,2,0,0,0,0
1663007400,409.81,410.84,409.47,410.095,2,0,0,0,,2,0,0,0,0
1663011000,410.1,411.05,409.79,410.92,0,1,0,0,,2,0,0,0,0
1663075800,401.77,403.1,399.7,400.11,1,0,0,0,,2,0,0,0,0
1663079400,400.1,400.41,397.74,398.06,2,0,0,0,,2,0,0,0,0
1663083000,398.065,399.12,397.6,398.07,3,0,0,0,,2,0,0,0,0
1663086600,398.05,399.48,397.73,399.46,4,0,0,0,,2,0,0,0,0
1663090200,399.44,399.65,397.15,397.23,5,0,0,0,,2,0,0,0,0
1663093800,397.24,397.39,394.17,394.18,6,0,0,0,,2,0,0,0,0
1663097400,394.19,394.28,391.92,393.11,7,0,0,0,,2,0,0,0,0
1663162200,394.47,395.61,391.96,391.99,8,0,0,0,,2,0,0,0,0
1663165800,392.03,396.2,391.77,394.56,9,0,1,0,1,,0,0,1,1
1663169400,394.58,395.46,394.02,394.3,0,1,0,0,1,,0,0,0,0
1663173000,394.51,395.71,394.09,395,0,2,0,0,1,,0,0,0,0
1663176600,395.01,395.15,392.3,393.12,0,3,0,0,2,,0,0,0,0
1663180200,393.09,393.84,391.32,392.06,1,0,0,0,3,,0,0,0,0
1663183800,392.02,394.96,391.13,394.61,0,1,0,0,3,,0,0,0,0
1663248600,392.96,395.955,392.33,392.92,1,0,0,0,3,,0,0,0,0
1663252200,392.9,393.65,390.61,392.22,2,0,0,0,3,,0,0,0,0
1663255800,392.27,392.59,390.22,390.62,3,0,0,0,4,,0,0,0,0
1663259400,390.645,394.52,390.61,394.06,4,0,0,0,4,,0,0,0,0
1663263000,394.02,394.1,391.25,392.26,5,0,0,0,4,,0,0,0,0
1663266600,392.25,392.66,388.78,389.11,6,0,0,0,5,,0,0,0,0
1663270200,389.1,390.97,388.88,390.14,7,0,0,0,6,,0,0,0,0
1663335000,384.14,385.29,382.13,384.27,8,0,0,0,7,,0,0,0,0
1663338600,384.29,385.89,383.375,383.5,9,0,1,0,1,,0,0,1,1
1663342200,383.47,384.39,382.12,382.36,10,0,0,0,1,,0,0,0,0
1663345800,382.31,383.69,382.23,382.96,11,0,0,0,2,,0,0,0,0
1663349400,382.94,384.61,382.46,384.31,0,1,0,0,2,,0,0,0,0
1663353000,384.33,386.16,383.71,384.93,0,2,0,0,2,,0,0,0,0
1663356600,384.92,386.24,384.16,385.64,0,3,0,0,2,,0,0,0,0
1663594200,382.26,385.94,382.1,385.7,0,4,0,0,2,,0,0,0,0
1663597800,385.69,387.16,385.18,385.2,0,5,0,0,2,,0,0,0,0
1663601400,385.19,385.29,383.9,384.57,1,0,0,0,2,,0,0,0,0
1663605000,384.56,386.3,384.47,386.08,0,1,0,0,2,,0,0,0,0
1663608600,386.06,386.08,384.68,385.19,1,0,0,0,2,,0,0,0,0
1663612200,385.21,388.33,385.08,387.97,0,1,0,0,2,,0,0,0,0
1663615800,387.98,388.54,387.47,388.53,0,2,0,0,2,,0,0,0,0
1663680600,385.06,385.28,383.11,384,1,0,0,0,3,,0,0,0,0
1663684200,383.99,385.2,382.75,384.55,2,0,0,0,4,,0,0,0,0
1663687800,384.55,386.1,384.23,384.58,3,0,0,0,4,,0,0,0,0
1663691400,384.555,384.64,382.6,382.66,4,0,0,0,5,,0,0,0,0
1663695000,382.64,383.06,381.21,382.72,5,0,0,0,6,,0,0,0,0
1663698600,382.67,384.48,381.51,384.16,6,0,0,0,6,,0,0,0,0
1663702200,384.14,385.47,383.48,384.12,7,0,0,0,6,,0,0,0,0
1663767000,386.12,387.23,385.43,387.15,0,1,0,0,6,,0,0,0,0
1663770600,387.17,387.25,385.4,385.83,0,2,0,0,6,,0,0,0,0
1663774200,385.86,386.515,385.78,386.515,0,3,0,0,6,,0,0,0,0
1663777800,386.5,386.84,385.61,385.98,0,4,0,0,6,,0,0,0,0
1663781400,386.05,387.26,380.25,381.83,1,0,0,0,7,,0,0,0,0
1663785000,381.65,389.29,380.82,381.55,2,0,0,0,8,,0,0,0,0
1663788600,381.52,381.98,377.39,377.39,3,0,0,0,9,,0,0,0,0
1663853400,376.58,377.64,374.29,375.63,4,0,0,0,10,,0,0,0,0
1663857000,375.64,376.18,373.45,374.3,5,0,0,0,11,,0,0,0,0
1663860600,374.305,375.99,374.09,375.055,6,0,0,0,11,,0,0,0,0
1663864200,375.06,375.91,373.96,374.93,7,0,0,0,11,,0,0,0,0
1663867800,374.93,375.78,373.72,374.25,8,0,0,0,11,,0,0,0,0
1663871400,374.19,377.06,373.98,376.06,0,1,0,0,11,,0,0,0,0
1663875000,376.07,377.54,374.13,374.23,1,0,0,0,11,,0,0,0,0
1663939800,370.58,370.6,367.43,368.69,2,0,0,0,12,,0,0,0,0
1663943400,368.7,368.81,367.17,367.71,3,0,0,0,13,,1,0,0,0
1663947000,367.78,368.16,365.08,365.11,4,0,0,0,14,,0,0,0,0
1663950600,365.11,367.18,364.83,365.76,5,0,0,0,15,,0,0,0,0
1663954200,365.78,366.63,364.1,364.81,6,0,0,0,16,,0,0,0,0
1663957800,364.8,366.48,363.29,366.21,7,0,0,0,16,,0,0,0,0
1663961400,366.23,368.23,366.01,367.92,0,1,0,0,16,,0,0,0,0
