time,open,high,low,close,close,open,high,low,volume,ema21,ema200,rsi14,atr14,supertrend_dir,supertrend_line,td9_bull,td9_bear,td13_bull,td13_bear,td_bull_prep_count,td_bear_prep_count,td_bull_leadup_count,td_bear_leadup_count,td_tv_count,td_tv_side_code,phase_value,phase_zone_code,saty_phase_value,saty_phase_zone_code,phase_leaving_accum,phase_leaving_distribution,sq_on,sq_release,vwap,vwap_dist_pct,vwap_rolling20,vwap_rolling20_dist_pct,rvol,pdz_position,pdz_zone_code,fvg_active_bull,fvg_active_bear,fvg_in_bull,fvg_in_bear,liq_nearest_bs_dist_atr,liq_nearest_ss_dist_atr,liq_buyside_swept,liq_sellside_swept,orb_15m_direction,rsi_bull_divergence,rsi_bear_divergence
920903400,51.125,51.734375,49.65625,50.0625,50.0625,51.125,51.734375,49.65625,23664406,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,50.484375,-0.8356545961002786,,,1,,,0,0,0,0,,,0,0,0,0,0
921508200,50.4375,53.25,49.90625,51.21875,51.21875,50.4375,53.25,49.90625,27248600,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,51.005636719287736,0.41782299843671084,,,1,,,0,0,0,0,,,0,0,0,0,0
922113000,51.4375,52.46875,48.5,51.75,51.75,51.4375,52.46875,48.5,40824202,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.96140838933551,1.5474289969378383,,,1,,,0,0,0,0,,,0,0,0,0,0
922717800,52.375,54.1875,52.0625,53.5625,53.5625,52.375,54.1875,52.0625,27026798,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.48695786816996,4.031199779067104,,,1,,,0,0,0,0,,,0,0,0,0,0
923319000,54.429685,56.25,53.8125,55.8125,55.8125,54.429685,56.25,53.8125,38042402,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52.41000854863289,6.492064293807228,,,1,,,1,0,0,0,,,0,0,0,0,0
923923800,54.5,55.90625,51.125,51.96875,51.96875,54.5,55.90625,51.125,77074602,,,,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,52.6044379993075,-1.2084303596511536,,,1,,,0,0,0,0,,,0,0,0,0,0
924528600,52.3125,55.71875,48.84375,55.3125,55.3125,52.3125,55.71875,48.84375,68509604,,,,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52.76013649548577,4.837674187466548,,,1,,,0,0,0,0,,,0,0,0,0,0
925133400,55.6875,57.28125,51.8125,53.71875,53.71875,55.6875,57.28125,51.8125,64024004,,,,,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,53.024102111587744,1.3100606342194885,,,1,,,0,0,0,0,,,0,0,0,0,0
925738200,53.5625,54.375,51.03125,52.96875,52.96875,53.5625,54.375,51.03125,70784592,,,,,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52.98646972854873,-0.03344198743472705,,,1,,,0,0,0,0,,,0,0,0,0,0
926343000,53.3125,56,52.6875,53.40625,53.40625,53.3125,56,52.6875,53981796,,,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.10129321477756,0.5742925769980507,,,1,,,0,0,0,0,,,0,0,0,0,0
926947800,52.9375,54.992185,52.41406,52.875,52.875,52.9375,54.992185,52.41406,43628994,,,,,-1,42.58952875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12787054581614,-0.475965897406085,,,1,,,0,0,0,0,,,0,0,0,0,0
927552600,52.96875,53.0625,48.9375,52.03125,52.03125,52.96875,53.0625,48.9375,90417592,,,,,-1,42.58952875,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52.86985908622204,-1.58617613270807,,,1,,,0,0,0,0,,,0,0,0,0,0
928157400,51.9375,52.742185,49.57031,52.5625,52.5625,51.9375,52.742185,49.57031,43091802,,,,,-1,42.58952875,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52.78959313320221,-0.43018542050360886,,,1,,,0,0,0,0,,,0,0,0,0,0
